band,kruskal_stat,kruskal_pvalue,kruskal_pvalue_adj,ttest_stat,ttest_pvalue,ttest_pvalue_adj,pearson_r,pearson_pvalue,pearson_pvalue_adj,spearman_rho,spearman_pvalue,spearman_pvalue_adj,pvalue_adjusted,pvalue_adjusted_source,significant_at_alpha,effect_score,significance_score,consistency_score,ranking_score,direction_label,rank
1502,299.9452128259936,3.3861613924231154e-67,1.1699133170928095e-66,-19.851848803036734,1.7262545401948348e-77,6.255853299964081e-77,0.4311269984539853,2.4947846986840396e-79,9.102363866675723e-79,0.4162674317211509,1.5065914411111716e-73,5.2052492073117493e-73,9.102363866675723e-79,pearson,True,0.708194611419493,0.9537446637603129,0.6666666666666666,0.8145393404975794,irrigado,609
704,310.82929587701346,1.4406846659957015e-69,5.083795315640004e-69,19.34853629201956,1.9142667283517706e-75,6.732830113302709e-75,-0.4219207305751959,1.0298619905170871e-75,3.610397092367406e-75,-0.42375266095254627,2.00546594568761e-76,7.076759141679268e-76,7.076759141679268e-76,spearman,True,0.7086468087405411,0.9518181256599529,0.6666666666666666,0.813875887146889,nao_irrigado,610
509,305.3949121433916,2.2000673330915523e-68,7.687714957420724e-68,19.598869070002873,5.552600964927413e-76,1.9658219890657348e-75,-0.426613475260657,1.526653644245579e-77,5.486251975725333e-77,-0.42003198699642835,5.505352681706153e-75,1.923740311054719e-74,5.486251975725333e-77,pearson,True,0.7085303270591596,0.9500037924542686,0.6666666666666666,0.8130070204477093,nao_irrigado,611
2085,327.632159493407,3.151459488953931e-73,1.1819348065902264e-72,-18.656416595012345,4.347203043011422e-70,1.452898808620769e-69,0.4089601502603215,8.2379304464756e-71,2.7618272276873735e-70,0.43505556495083364,6.601508012669404e-81,2.4758535286608288e-80,2.4758535286608288e-80,spearman,True,0.7126382135581004,0.9397362486051837,0.6666666666666666,0.8102351746401446,irrigado,612
548,311.89748652627077,8.430901714376244e-70,2.989770261418242e-69,19.21064362393772,1.1176249560889847e-74,3.905326879081671e-74,-0.4192492919545306,1.0992830098524321e-74,3.828783125077596e-74,-0.42448016703335145,1.0442634018853963e-76,3.703171700745407e-76,3.703171700745407e-76,spearman,True,0.7043896264638039,0.9442199132768342,0.6666666666666666,0.8085409595499538,nao_irrigado,613
542,310.0978812926778,2.0792270754418517e-69,7.32501472971236e-69,19.19177345779223,2.5675750827530843e-74,8.957335800059055e-74,-0.41912112859400213,1.2308657701281675e-74,4.2732318901541714e-74,-0.4232537996399942,3.134355109586573e-76,1.104217890246155e-75,1.104217890246155e-75,spearman,True,0.6998358216993749,0.9365239308064913,0.6666666666666666,0.8030285552943064,nao_irrigado,614
1400,295.81576128200595,2.6878008977490257e-66,9.1975861930934e-66,19.74785964589854,2.9191111330652184e-77,1.056089196120733e-76,-0.4292237824251005,1.4247762508075733e-78,5.180785385762224e-78,-0.4133920505446351,1.8341842504016581e-72,6.276531774065547e-72,5.180785385762224e-78,pearson,True,0.6942591947960349,0.9358694729705498,0.6666666666666666,0.8002245671616297,nao_irrigado,615
2189,300.4046973466784,2.689067131076814e-67,9.305644548605593e-67,-19.463689700152898,2.1677406676230026e-76,7.725497006172193e-76,0.4237583039216075,1.9953528750401085e-76,7.052653500758542e-76,0.41658614867083693,1.1403209620916254e-73,3.946134859154433e-73,7.052653500758542e-76,pearson,True,0.6908310921189101,0.931286595442849,0.6666666666666666,0.7966196260694582,irrigado,616
1797,297.2221956677249,1.3273046528761368e-66,4.5492467289167753e-66,-19.582997578052446,3.143772720458078e-77,1.1354567355066235e-76,0.42589116120444376,2.9319662088282127e-77,1.04838525503691e-76,0.41437360636794374,7.836100478030853e-73,2.6857703233314675e-72,1.04838525503691e-76,pearson,True,0.6893160417182315,0.931987342830029,0.6666666666666666,0.796253189713384,irrigado,617
861,299.6424118194918,3.9416489527846634e-67,1.359647447758305e-66,19.495501801758103,2.0450281926771167e-76,7.300275059905521e-76,-0.4242494060983267,1.284635900840481e-76,4.548076690125525e-76,-0.4160572632978071,1.8100599224577175e-73,6.243689844882239e-73,4.548076690125525e-76,pearson,True,0.6905266118357707,0.9303604767731242,0.6666666666666666,0.7960658565406693,nao_irrigado,618
