dia,banda,comprimento_onda_nm,status,ranking
dia9,band_438,438,Confirmado,1
dia9,band_439,439,Confirmado,1
dia9,band_440,440,Confirmado,1
dia9,band_441,441,Confirmado,1
dia9,band_443,443,Confirmado,1
dia9,band_444,444,Confirmado,1
dia9,band_445,445,Confirmado,1
dia9,band_446,446,Confirmado,1
dia9,band_447,447,Confirmado,1
dia9,band_448,448,Confirmado,1
dia9,band_451,451,Confirmado,1
dia9,band_452,452,Confirmado,1
dia9,band_453,453,Confirmado,1
dia9,band_454,454,Confirmado,1
dia9,band_455,455,Confirmado,1
dia9,band_456,456,Confirmado,1
dia9,band_457,457,Confirmado,1
dia9,band_458,458,Confirmado,1
dia9,band_459,459,Confirmado,1
dia9,band_460,460,Confirmado,1
dia9,band_461,461,Confirmado,1
dia9,band_462,462,Confirmado,1
dia9,band_465,465,Confirmado,1
dia9,band_466,466,Confirmado,1
dia9,band_467,467,Confirmado,1
dia9,band_470,470,Confirmado,1
dia9,band_471,471,Confirmado,1
dia9,band_473,473,Confirmado,1
dia9,band_476,476,Confirmado,1
dia9,band_477,477,Confirmado,1
dia9,band_478,478,Confirmado,1
dia9,band_479,479,Confirmado,1
dia9,band_480,480,Confirmado,1
dia9,band_481,481,Confirmado,1
dia9,band_482,482,Confirmado,1
dia9,band_483,483,Confirmado,1
dia9,band_485,485,Confirmado,1
dia9,band_486,486,Confirmado,1
dia9,band_487,487,Confirmado,1
dia9,band_489,489,Confirmado,1
dia9,band_490,490,Confirmado,1
dia9,band_491,491,Confirmado,1
dia9,band_492,492,Confirmado,1
dia9,band_493,493,Confirmado,1
dia9,band_494,494,Confirmado,1
dia9,band_495,495,Confirmado,1
dia9,band_496,496,Confirmado,1
dia9,band_497,497,Confirmado,1
dia9,band_498,498,Confirmado,1
