dia,band,wavelength_nm,h_stat,p_value,mean_irrigated,mean_non_irrigated,direction,q_value,rank_kruskal,selected_top_k
dia6,band_360,360,17.28,3.225641456243768e-05,0.16111655385975515,0.09823346241925103,irrigado,3.4705343486724734e-05,11,True
dia6,band_361,361,17.28,3.225641456243768e-05,0.1588680887755546,0.09641505398181416,irrigado,3.4705343486724734e-05,12,True
dia6,band_362,362,17.28,3.225641456243768e-05,0.1569484949989853,0.09501881420176805,irrigado,3.4705343486724734e-05,13,True
dia6,band_363,363,17.28,3.225641456243768e-05,0.15507364651822805,0.09365114086761196,irrigado,3.4705343486724734e-05,14,True
dia6,band_364,364,17.28,3.225641456243768e-05,0.15316147719672232,0.09232255892875237,irrigado,3.4705343486724734e-05,15,True
dia6,band_365,365,17.28,3.225641456243768e-05,0.15131784428068987,0.09110402447293342,irrigado,3.4705343486724734e-05,16,True
dia6,band_366,366,17.28,3.225641456243768e-05,0.14964589292545305,0.08994310452319781,irrigado,3.4705343486724734e-05,17,True
dia6,band_367,367,17.28,3.225641456243768e-05,0.14773470738733427,0.08850374902145397,irrigado,3.4705343486724734e-05,18,True
dia6,band_368,368,17.28,3.225641456243768e-05,0.1458577378576343,0.08717325824451488,irrigado,3.4705343486724734e-05,19,True
dia6,band_369,369,17.28,3.225641456243768e-05,0.1442201405094555,0.08616459051545439,irrigado,3.4705343486724734e-05,20,True
dia9,band_352,352,17.28,3.225641456243768e-05,0.13493458341181844,0.10187268524750333,irrigado,0.00042244780175220104,1,True
dia9,band_353,353,17.28,3.225641456243768e-05,0.13401343067355578,0.10102762719982444,irrigado,0.00042244780175220104,2,True
dia9,band_354,354,17.28,3.225641456243768e-05,0.13301964307953115,0.09997175605494635,irrigado,0.00042244780175220104,3,True
dia9,band_355,355,17.28,3.225641456243768e-05,0.13195081907041525,0.09907180046719215,irrigado,0.00042244780175220104,4,True
