number,objective,datetime_start,datetime_complete,duration,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
156,0.5944187909166857,2026-05-19 10:51:52.456459,2026-05-19 10:51:52.508426,0 days 00:00:00.051967,2.7141445527025073e-05,float,eigen,0.6319444444444444,0.5937310131389079,0.5583333333333333,COMPLETE,0.6319444444444444,0.5937310131389079,0.5583333333333333
238,0.5944187909166857,2026-05-19 10:51:56.759407,2026-05-19 10:51:56.811720,0 days 00:00:00.052313,2.6811069981572147e-05,float,eigen,0.6319444444444444,0.5937310131389079,0.5583333333333333,COMPLETE,0.6319444444444444,0.5937310131389079,0.5583333333333333
92,0.593712261072261,2026-05-19 10:51:48.760337,2026-05-19 10:51:48.803935,0 days 00:00:00.043598,5.2497269114379634e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
80,0.593712261072261,2026-05-19 10:51:48.198252,2026-05-19 10:51:48.244276,0 days 00:00:00.046024,6.481189430821216e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
103,0.593712261072261,2026-05-19 10:51:49.299275,2026-05-19 10:51:49.347001,0 days 00:00:00.047726,5.673554125111554e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
65,0.593712261072261,2026-05-19 10:51:47.433969,2026-05-19 10:51:47.479899,0 days 00:00:00.045930,5.076187412655604e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
127,0.593712261072261,2026-05-19 10:51:50.495215,2026-05-19 10:51:50.544782,0 days 00:00:00.049567,6.210663317853503e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
94,0.593712261072261,2026-05-19 10:51:48.850800,2026-05-19 10:51:48.895434,0 days 00:00:00.044634,5.434377586933945e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
212,0.593712261072261,2026-05-19 10:51:55.419557,2026-05-19 10:51:55.466527,0 days 00:00:00.046970,5.4115628330628656e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
233,0.593712261072261,2026-05-19 10:51:56.508613,2026-05-19 10:51:56.556500,0 days 00:00:00.047887,5.7886923180879e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
231,0.593712261072261,2026-05-19 10:51:56.410937,2026-05-19 10:51:56.461314,0 days 00:00:00.050377,5.796318365191078e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
232,0.593712261072261,2026-05-19 10:51:56.461314,2026-05-19 10:51:56.508613,0 days 00:00:00.047299,5.442112402555217e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
219,0.593712261072261,2026-05-19 10:51:55.761279,2026-05-19 10:51:55.809874,0 days 00:00:00.048595,5.7513285031418156e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
242,0.593712261072261,2026-05-19 10:51:56.960602,2026-05-19 10:51:57.008863,0 days 00:00:00.048261,6.394581339149577e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
222,0.593712261072261,2026-05-19 10:51:55.911667,2026-05-19 10:51:55.959866,0 days 00:00:00.048199,5.564330563380508e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
131,0.593712261072261,2026-05-19 10:51:50.728897,2026-05-19 10:51:50.814410,0 days 00:00:00.085513,6.838756955811144e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
161,0.593712261072261,2026-05-19 10:51:52.792541,2026-05-19 10:51:52.845924,0 days 00:00:00.053383,5.818071647577973e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
181,0.593712261072261,2026-05-19 10:51:53.807585,2026-05-19 10:51:53.859546,0 days 00:00:00.051961,5.5838200816049245e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
193,0.593712261072261,2026-05-19 10:51:54.467170,2026-05-19 10:51:54.517216,0 days 00:00:00.050046,5.4301864448560545e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
142,0.593712261072261,2026-05-19 10:51:51.596055,2026-05-19 10:51:51.665392,0 days 00:00:00.069337,6.00090740496013e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
151,0.593712261072261,2026-05-19 10:51:52.168520,2026-05-19 10:51:52.221621,0 days 00:00:00.053101,5.2622517634410404e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
171,0.593712261072261,2026-05-19 10:51:53.308167,2026-05-19 10:51:53.355502,0 days 00:00:00.047335,6.714422631676321e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
132,0.593712261072261,2026-05-19 10:51:50.814410,2026-05-19 10:51:50.918394,0 days 00:00:00.103984,6.732403553714622e-05,float,eigen,0.6388888888888888,0.5930167055167055,0.5666666666666667,COMPLETE,0.6388888888888888,0.5930167055167055,0.5666666666666667
