interval_label,threshold,rank,region_start,region_end,n_bands_csv,n_bands_used,best_components,rmsecv,r2cv,auc,accuracy,top_vip_band,top_vip,top_abs_coef_band,top_abs_coef,top_positive_band,top_positive_coef,top_negative_band,top_negative_coef,fit_mean_pred
thr_1em05_rank_02_2020_2237,1e-05,2,2020,2237,218,218,10,0.3248033860534986,0.5780087908809016,0.9379800307219662,0.875866050808314,2211,1.24080858426243,2044,0.05556412738117471,2111,0.04335174696680657,2044,-0.05556412738117471,0.5011547344110855
thr_0p05_rank_02_2016_2239,0.05,2,2016,2239,224,224,11,0.3243614265470837,0.5791564152425595,0.9379786973032941,0.8764434180138568,2211,1.2418996576402819,2044,0.06530530301547212,2070,0.04667196602609818,2044,-0.06530530301547212,0.5011547344110855
thr_0p05_rank_08_1910_2010,0.05,8,1910,2010,101,101,9,0.345906563549925,0.5213920444468039,0.9201655572623315,0.855080831408776,1922,1.739036944097832,1910,0.42544631697888585,1910,0.42544631697888585,2010,-0.20259306380705783,0.5011547344110855
thr_0p05_rank_01_763_986,0.05,1,763,986,224,224,14,0.34648865472129714,0.519779887273504,0.920140222307561,0.8446882217090069,849,1.4688922539146465,763,0.2305018270308222,763,0.2305018270308222,769,-0.09744808254562552,0.5011547344110855
thr_0p01_rank_08_1910_2009,0.01,8,1910,2009,100,100,9,0.3460537649520173,0.5209846121515134,0.9195628520225294,0.855080831408776,1922,1.7357773640481278,1910,0.4301456751926478,1910,0.4301456751926478,1925,-0.15263374969723703,0.5011547344110855
thr_0p01_rank_01_764_986,0.01,1,764,986,223,223,15,0.3478020729460523,0.5161322914385309,0.9189748143881208,0.8429561200923787,849,1.4609739587755777,764,0.278960101978927,764,0.278960101978927,769,-0.10000728126879019,0.5011547344110855
thr_0p05_rank_04_351_553,0.05,4,351,553,203,203,8,0.3592841178325538,0.4836569367018958,0.9188254714968425,0.8400692840646651,491,1.3308542112486064,491,0.05148682055331172,432,0.029360107760744932,491,-0.05148682055331172,0.5011547344110855
thr_0p01_rank_04_351_553,0.01,4,351,553,203,203,8,0.3592841178325538,0.4836569367018958,0.9188254714968425,0.8400692840646651,491,1.3308542112486064,491,0.05148682055331172,432,0.029360107760744932,491,-0.05148682055331172,0.5011547344110855
thr_0p0001_rank_07_1911_2007,0.0001,7,1911,2007,97,97,9,0.34614009342504964,0.520745586721292,0.9186174581839904,0.8545034642032333,1922,1.7274174746451019,1911,0.4282306388257014,1911,0.4282306388257014,1925,-0.16751503575334895,0.5011547344110855
thr_0p001_rank_07_1911_2008,0.001,7,1911,2008,98,98,9,0.3463307498793841,0.5202174877617411,0.9186107910906297,0.855080831408776,1922,1.7315194604813056,1911,0.4347994983765367,1911,0.4347994983765367,1925,-0.16856506007666866,0.5011547344110855
thr_0p001_rank_03_352_553,0.001,3,352,553,202,202,8,0.35915863587068964,0.4840175450501404,0.9184761158047449,0.8394919168591224,491,1.3272090590603347,491,0.051929497380899116,432,0.029637445997271937,491,-0.051929497380899116,0.5011547344110855
thr_0p0001_rank_03_353_553,0.0001,3,353,553,201,201,9,0.35912012960365136,0.4841281785760255,0.918414778545827,0.8389145496535797,491,1.321040485813567,491,0.05732039804048826,432,0.03469293213325253,491,-0.05732039804048826,0.5011547344110855
thr_1em05_rank_03_353_553,1e-05,3,353,553,201,201,9,0.35912012960365136,0.4841281785760255,0.918414778545827,0.8389145496535797,491,1.321040485813567,491,0.05732039804048826,432,0.03469293213325253,491,-0.05732039804048826,0.5011547344110855
thr_1em05_rank_07_1912_2006,1e-05,7,1912,2006,95,95,8,0.34675803339859057,0.5190328997858018,0.9182734361665813,0.855080831408776,1922,1.7237494606347874,1912,0.4266928333556781,1912,0.4266928333556781,1925,-0.16926533927092532,0.5011547344110855
