wavelength,PC1,PC2,PC3,PC4,PC5
410,-0.016464298216618805,0.027750187743932276,0.034512215973666195,-0.04434197384002151,0.021244096057943782
411,-0.016380079455107416,0.028019681459221728,0.03451935589032108,-0.044254022096343944,0.02062443210757042
412,-0.016445566026772235,0.027713287211566656,0.034441143923195576,-0.04508334427873882,0.02076952097534087
413,-0.01644197210218126,0.027668922719881917,0.03454664556194632,-0.04515150794182177,0.02092491010375298
414,-0.016444715227342498,0.027671730733698708,0.03469322496419661,-0.044717918518698954,0.020622846449434667
415,-0.016490932314918334,0.027555211966940395,0.03481238220315869,-0.04437785399438411,0.019599165559175194
416,-0.01650371698012903,0.02735971356818906,0.034969188893798235,-0.044817290128865206,0.01775308147321664
417,-0.01650316840273854,0.02719285761614199,0.03519956155079191,-0.0449678927747987,0.017424697656259824
418,-0.016493405694095613,0.027166297294025643,0.03538229208472231,-0.04469583854608552,0.017897616845233905
419,-0.01648504119924504,0.02728994277514277,0.03542130043405719,-0.044265123555354086,0.01794063307351866
420,-0.016511745507745167,0.027272749980791197,0.035398436695770565,-0.0443259285662347,0.017351083847300258
421,-0.01651569669236534,0.027228122611519676,0.03549564960311764,-0.04428290569442111,0.016888290386568874
422,-0.01649729087419313,0.02717276562754259,0.03566166163885973,-0.044202820416770205,0.016844275013137823
423,-0.01648873864223261,0.02708196894237782,0.03574012268523759,-0.044440346141260134,0.017057487972128315
424,-0.01648413955583622,0.027047890456715948,0.03585211317531139,-0.044484518832084353,0.016271296329165328
425,-0.016496668040925623,0.026968252334028088,0.03597648575569527,-0.04441531127931477,0.01542115549410429
426,-0.016510780071939273,0.026870326010826485,0.03603769692757057,-0.04443344002569044,0.015211994417278168
427,-0.016472262385120475,0.026974176196012025,0.03590365094804415,-0.04481251407893584,0.01574806515765827
428,-0.01647255509044618,0.026940389231335318,0.03601256762404637,-0.04474443210359581,0.015434264715042997
429,-0.016492618181303865,0.026852365312379008,0.03616244230016207,-0.04450500897391001,0.014414914258874964
430,-0.01650333594587961,0.026819581913235822,0.03614444595559387,-0.044524464565208616,0.013377682343380016
431,-0.016522646415304643,0.0266493228007326,0.03621889127700405,-0.044868697082159875,0.013080942684310207
432,-0.016539170395337657,0.026657570262598754,0.036197015316719844,-0.044732148143879304,0.01320820396923778
433,-0.016532415931539732,0.026765990998243255,0.03620450586411368,-0.04436314040766488,0.013417062482351628
434,-0.0164890880427548,0.026701727109536614,0.03646392292837343,-0.04448367190230116,0.013363703089385847
435,-0.016510774677592904,0.026583703387857184,0.036551651840472495,-0.04451556639570154,0.012783667257398396
436,-0.016518406223648315,0.026501812253576895,0.036596255432957005,-0.04465043410979286,0.012406876832816991
437,-0.016488838114356957,0.026482188337386036,0.03666852779694306,-0.04483986450356105,0.012302271032428726
438,-0.01650399806016448,0.02647845676344409,0.03669261179983072,-0.04462888017370105,0.011511804697768444
439,-0.016510697045727718,0.026416038282341393,0.03678241554426446,-0.0445764330610272,0.01133059377059128
