wavelength,t_stat,p_value,q_value,mean_diff,cohen_d,direction
971,-2.7298458337647835,0.008264271694612241,0.029898855002898496,-5.055947812500003e-05,-0.6824614584411958,nao_irrigado
727,2.7754084752168056,0.00848029252829837,0.030577430609585905,0.001434151099999996,0.6938521188042014,irrigado
396,-2.711542058371363,0.00865473032758747,0.031154129772169973,-0.0007420753343749999,-0.6778855145928407,nao_irrigado
720,2.7339658640022906,0.008696247486617183,0.031199058178197542,0.000846355803125004,0.6834914660005726,irrigado
1233,2.734354207983161,0.008733123787568953,0.031227093210458703,4.230699374999997e-05,0.6835885519957903,irrigado
508,-2.766467762808252,0.0091041910178476,0.03223213590997445,-0.0006393963250000004,-0.691616940702063,nao_irrigado
728,2.7308776964854586,0.009504170990630756,0.03353770682900738,0.001440209865625,0.6827194241213647,irrigado
1084,2.66395603420898,0.010000685418107379,0.03517426016941532,0.00010545998749999998,0.665989008552245,irrigado
1083,2.660040303778459,0.010139233289737358,0.035487316514080755,0.00011165828749999998,0.6650100759446147,irrigado
1159,-2.650494597316516,0.0102152802252508,0.03569534504725849,-0.00016489546250000008,-0.662623649329129,nao_irrigado
451,-2.646890036865718,0.01040340645931689,0.036234879223779576,-0.00015591829999999978,-0.6617225092164296,nao_irrigado
970,-2.640711326177636,0.010625559353131619,0.036770252898357246,-4.894313749999996e-05,-0.6601778315444089,nao_irrigado
682,-2.647256387435828,0.010826638513958346,0.037345820491968676,-0.0003108904718749999,-0.661814096858957,nao_irrigado
1296,2.6496379076872305,0.011025642757839108,0.037971324177237566,0.00012558449062500003,0.6624094769218076,irrigado
729,2.6664453774644716,0.011182319144343323,0.03838786556101246,0.0014230248437499954,0.6666113443661178,irrigado
1186,-2.5939628410803426,0.01182641802672725,0.04034122593561407,-6.34711375e-05,-0.6484907102700856,nao_irrigado
1074,2.571304377155933,0.012633538433138908,0.0428901644436264,0.00011034570937500001,0.6428260942889833,irrigado
1040,2.557389612438124,0.01304167040912264,0.043860015194373325,7.176671249999999e-05,0.639347403109531,irrigado
1190,-2.5556624611511056,0.013095143096537861,0.043971035178843536,-5.9481759375e-05,-0.6389156152877764,nao_irrigado
1404,-2.5540863573799912,0.013146114908321823,0.044004674358229905,-0.0003541300249999997,-0.638521589344998,nao_irrigado
391,-2.553172772641763,0.013395371701877847,0.04469977296170107,-0.0007138666468749998,-0.6382931931604406,nao_irrigado
689,-2.572558118623043,0.01344245029792688,0.044787326651542426,-0.0008145820250000033,-0.6431395296557606,nao_irrigado
730,2.5800592309218495,0.013848240321584819,0.045784413001670424,0.0013838736093750026,0.6450148077304622,irrigado
