target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao_genotipo_turno,10,6,jitter,XGBoost,3,0.312742504409171,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.04, ""model__max_depth"": 4, ""model__n_estimators"": 220, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,10,6,jitter,XGBoost,4,0.4094356261022927,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 240, ""model__reg_lambda"": 2.0, ""model__subsample"": 0.9}",108,432,36
condicao_genotipo_turno,10,6,mixup,Random Forest,1,0.3153940195606862,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,mixup,Random Forest,2,0.36488095238095236,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,mixup,Random Forest,3,0.3319376611043278,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,mixup,Random Forest,4,0.27905844155844156,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,10,6,mixup,SVM (RBF),1,0.2928503595170262,"{""model__C"": 3.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,10,6,mixup,SVM (RBF),2,0.36521164021164026,"{""model__C"": 3.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,10,6,mixup,SVM (RBF),3,0.39065255731922394,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,10,6,mixup,SVM (RBF),4,0.3559082892416226,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
