subset_family,subset_name,subset_label,dates,shift,genotype,n_samples,irrigated_count,non_irrigated_count,best_components,rmsecv,auc,rank,wavelength,direction_label,vip,coefficient,optimal_score,pearson_r,pearson_p_value,welch_p_value,pearson_p_lt_0_005,welch_p_lt_0_005
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,18,1666,irrigado,1.5794493175,0.0107150606,5.5168918832,0.4108004072,7.3614993748e-25,9.4307292389e-25,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,19,1665,irrigado,1.5553011237,0.0107689760,5.3977523615,0.4408645801,8.6526154619e-29,1.1862141967e-28,1,1
turno,tarde,Turno tarde,"2017-02-23,2017-02-24,2017-03-02",tarde,,576,288,288,13,0.2628355726,0.9875699267,20,2331,irrigado,1.0664993305,0.0195801124,5.3534397009,0.1808426141,1.2605137743e-05,1.2850933183e-05,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,1,2270,nao_irrigado,1.7290441064,-0.0170274752,8.0207643782,-0.6012127902,4.1779395540e-39,1.9107607502e-37,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,2,2271,nao_irrigado,1.7381956364,-0.0163703733,7.8597134451,-0.6210261293,2.5118517401e-42,2.0739314031e-40,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,3,2272,nao_irrigado,1.7380521570,-0.0154164089,7.5572704318,-0.6313646407,4.2259922261e-44,4.7299331706e-42,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,4,2269,nao_irrigado,1.6803078664,-0.0158479884,7.3986548389,-0.5735081330,5.8175236823e-35,1.2445488610e-33,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,5,2273,nao_irrigado,1.7389603003,-0.0141822903,7.1715977138,-0.6376678710,3.2429133677e-45,4.0554113871e-43,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,6,1665,irrigado,1.6391693893,0.0150287627,6.9293143481,0.6538587958,3.3436334456e-48,1.0936893935e-47,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,7,2274,nao_irrigado,1.7530792152,-0.0123512401,6.6646494331,-0.6485443165,3.3468704360e-47,5.7433046121e-45,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,8,1664,irrigado,1.5752169607,0.0150426461,6.6068666012,0.6510403508,1.1409744472e-47,3.3788632304e-47,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,9,2275,nao_irrigado,1.7828088175,-0.0109939221,6.3873089799,-0.6626986143,6.5271357920e-50,1.4451019675e-47,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,10,2268,nao_irrigado,1.6030946921,-0.0134903111,6.2583839554,-0.5417611033,1.1322984002e-30,1.1824078250e-29,1,1
genotipo,BR16,Genotipo BR16,"2017-02-23,2017-02-24,2017-03-02",,BR16,384,192,192,15,0.2042619030,0.9990505642,11,2276,nao_irrigado,1.8118844604,-0.0092789051,5.9934971003,-0.6775012474,6.5743263756e-53,1.6555957412e-50,1,1
