sample_name,data_coleta,genotipo,condicao,y_true,y_pred_fit
B1_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.2823236176
B1_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.2863441879
B1_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.3278007773
B1_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,-0.0740067179
B1_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,-0.0659224413
B1_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.0219966813
B1_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,-0.0064810038
B2_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.7698554504
B2_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.7401259077
B2_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.5949021595
B2_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.6256403418
B2_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.7158082889
B2_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.6920881051
B2_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.6496151445
B2_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.7696415498
B2_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.2843618541
B2_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.0931809684
B2_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.3145303733
B2_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.2150324189
B2_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.1598017406
B2_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.2221539590
