wavelength,coefficient,abs_coefficient,vip,direction
1781,0.0027767500,0.0027767500,1.0576973062,irrigado
1527,-0.0019277868,0.0019277868,1.0576297137,nao_irrigado
1512,-0.0024111934,0.0024111934,1.0575430636,nao_irrigado
820,0.0023469395,0.0023469395,1.0575278088,irrigado
858,-0.0024767109,0.0024767109,1.0574292401,nao_irrigado
1604,-0.0017070121,0.0017070121,1.0573824723,nao_irrigado
1840,-0.0017540992,0.0017540992,1.0572650730,nao_irrigado
2098,0.0011226083,0.0011226083,1.0571582187,irrigado
1395,0.0047323865,0.0047323865,1.0569124369,irrigado
2096,-0.0003506257,0.0003506257,1.0568707468,nao_irrigado
1562,-0.0026444172,0.0026444172,1.0567984509,nao_irrigado
901,0.0044846247,0.0044846247,1.0566687173,irrigado
868,-0.0083052438,0.0083052438,1.0565782331,nao_irrigado
859,0.0000973573,0.0000973573,1.0563417808,irrigado
429,-0.0064295210,0.0064295210,1.0563387786,nao_irrigado
882,0.0036564864,0.0036564864,1.0561869126,irrigado
946,0.0093732080,0.0093732080,1.0559780459,irrigado
965,-0.0110120282,0.0110120282,1.0558057650,nao_irrigado
2105,0.0070475526,0.0070475526,1.0557963177,irrigado
661,-0.0034728680,0.0034728680,1.0554017128,nao_irrigado
952,-0.0120974660,0.0120974660,1.0552269818,nao_irrigado
1882,-0.0046028830,0.0046028830,1.0550172055,nao_irrigado
2099,0.0020412748,0.0020412748,1.0549085085,irrigado
1841,-0.0023008586,0.0023008586,1.0547650068,nao_irrigado
1511,-0.0026534616,0.0026534616,1.0547155378,nao_irrigado
2095,0.0005693650,0.0005693650,1.0545488460,irrigado
1319,-0.0011465640,0.0011465640,1.0544786796,nao_irrigado
2090,0.0042278351,0.0042278351,1.0538522792,irrigado
418,-0.0063044911,0.0063044911,1.0536806895,nao_irrigado
2100,0.0022740453,0.0022740453,1.0532221250,irrigado
2404,-0.0033881976,0.0033881976,1.0531794445,nao_irrigado
1510,-0.0030866726,0.0030866726,1.0531522266,nao_irrigado
919,0.0118546382,0.0118546382,1.0531021590,irrigado
2195,-0.0059737306,0.0059737306,1.0529957418,nao_irrigado
2094,0.0021213445,0.0021213445,1.0529446068,irrigado
1477,-0.0058638199,0.0058638199,1.0526610172,nao_irrigado
829,0.0008998521,0.0008998521,1.0526280717,irrigado
2104,0.0057906764,0.0057906764,1.0525381054,irrigado
1318,-0.0010205110,0.0010205110,1.0523977894,nao_irrigado
2093,0.0028417816,0.0028417816,1.0523145049,irrigado
2091,0.0039019100,0.0039019100,1.0522139349,irrigado
1563,-0.0017150263,0.0017150263,1.0521703957,nao_irrigado
1842,-0.0029546820,0.0029546820,1.0521322753,nao_irrigado
2092,0.0035990787,0.0035990787,1.0516030759,irrigado
656,0.0014449130,0.0014449130,1.0515361363,irrigado
2063,0.0071145713,0.0071145713,1.0515060943,irrigado
2101,0.0015775185,0.0015775185,1.0511786400,irrigado
1509,-0.0030321189,0.0030321189,1.0510268682,nao_irrigado
399,-0.0073867223,0.0073867223,1.0509143244,nao_irrigado
834,-0.0062493223,0.0062493223,1.0506704034,nao_irrigado
1603,-0.0030009329,0.0030009329,1.0506136675,nao_irrigado
1881,-0.0046522840,0.0046522840,1.0505811367,nao_irrigado
1508,-0.0034373713,0.0034373713,1.0503774994,nao_irrigado
657,0.0013510193,0.0013510193,1.0501389825,irrigado
2103,0.0043510489,0.0043510489,1.0501058573,irrigado
950,-0.0127197327,0.0127197327,1.0500665094,nao_irrigado
655,0.0011652057,0.0011652057,1.0499682648,irrigado
2102,0.0024121267,0.0024121267,1.0496624993,irrigado
416,-0.0022640773,0.0022640773,1.0495594964,nao_irrigado
1507,-0.0042136844,0.0042136844,1.0495094071,nao_irrigado
1394,0.0043515471,0.0043515471,1.0492893961,irrigado
942,0.0058230220,0.0058230220,1.0492786383,irrigado
934,0.0059392752,0.0059392752,1.0492758574,irrigado
944,0.0097937671,0.0097937671,1.0491983863,irrigado
660,-0.0024773339,0.0024773339,1.0491495629,nao_irrigado
2197,0.0006094469,0.0006094469,1.0488998502,irrigado
1933,-0.0011999618,0.0011999618,1.0488566081,nao_irrigado
1702,0.0111364608,0.0111364608,1.0487982948,irrigado
1843,-0.0036897013,0.0036897013,1.0487349366,nao_irrigado
1506,-0.0045165252,0.0045165252,1.0481729686,nao_irrigado
2196,-0.0028990567,0.0028990567,1.0481088114,nao_irrigado
1564,-0.0008162722,0.0008162722,1.0480993065,nao_irrigado
872,0.0028715794,0.0028715794,1.0477538556,irrigado
905,-0.0010503423,0.0010503423,1.0474015926,nao_irrigado
1505,-0.0044329778,0.0044329778,1.0472320440,nao_irrigado
658,0.0008294875,0.0008294875,1.0471255327,irrigado
2407,0.0062391707,0.0062391707,1.0469807650,irrigado
1320,-0.0018093435,0.0018093435,1.0465538660,nao_irrigado
659,-0.0006280002,0.0006280002,1.0459570609,nao_irrigado
902,0.0048464090,0.0048464090,1.0458343636,irrigado
2229,-0.0061385455,0.0061385455,1.0457125698,nao_irrigado
409,-0.0006677848,0.0006677848,1.0455524815,nao_irrigado
1565,-0.0007730888,0.0007730888,1.0450491422,nao_irrigado
1880,-0.0042787614,0.0042787614,1.0450453145,nao_irrigado
654,0.0009709702,0.0009709702,1.0448319200,irrigado
2221,-0.0068304969,0.0068304969,1.0447931733,nao_irrigado
1602,-0.0024839627,0.0024839627,1.0446802446,nao_irrigado
2062,0.0062409397,0.0062409397,1.0446691335,irrigado
833,-0.0050793091,0.0050793091,1.0445502444,nao_irrigado
1504,-0.0040322043,0.0040322043,1.0444764623,nao_irrigado
867,-0.0077576372,0.0077576372,1.0443257960,nao_irrigado
670,-0.0046483228,0.0046483228,1.0439975366,nao_irrigado
1737,-0.0028269940,0.0028269940,1.0438619478,nao_irrigado
1844,-0.0041132241,0.0041132241,1.0438001012,nao_irrigado
924,-0.0041131388,0.0041131388,1.0437489988,nao_irrigado
832,-0.0016663369,0.0016663369,1.0437035820,nao_irrigado
1478,-0.0056247182,0.0056247182,1.0436147374,nao_irrigado
1317,-0.0015664080,0.0015664080,1.0434335395,nao_irrigado
830,-0.0009434619,0.0009434619,1.0433697325,nao_irrigado
1768,-0.0046906074,0.0046906074,1.0431406324,nao_irrigado
1566,-0.0009500103,0.0009500103,1.0428808968,nao_irrigado
1503,-0.0036744792,0.0036744792,1.0427641518,nao_irrigado
1502,-0.0037503607,0.0037503607,1.0424311036,nao_irrigado
1769,-0.0052152728,0.0052152728,1.0424152761,nao_irrigado
933,0.0006577563,0.0006577563,1.0423532044,irrigado
1393,0.0039042245,0.0039042245,1.0423440816,irrigado
1567,-0.0010573705,0.0010573705,1.0422501064,nao_irrigado
831,-0.0022536350,0.0022536350,1.0419776128,nao_irrigado
871,-0.0029745319,0.0029745319,1.0418234882,nao_irrigado
1499,-0.0044761162,0.0044761162,1.0417654645,nao_irrigado
1568,-0.0012600070,0.0012600070,1.0417258526,nao_irrigado
2213,0.0047148747,0.0047148747,1.0417006443,irrigado
1601,-0.0017072510,0.0017072510,1.0412737588,nao_irrigado
943,0.0070742388,0.0070742388,1.0410019977,irrigado
425,0.0058310439,0.0058310439,1.0409069969,irrigado
1569,-0.0014586427,0.0014586427,1.0406868074,nao_irrigado
1500,-0.0042586270,0.0042586270,1.0406849466,nao_irrigado
1501,-0.0039223263,0.0039223263,1.0406566635,nao_irrigado
381,-0.0057924642,0.0057924642,1.0404398419,nao_irrigado
499,0.0054755232,0.0054755232,1.0401451825,irrigado
1570,-0.0019480607,0.0019480607,1.0400931392,nao_irrigado
401,0.0015844668,0.0015844668,1.0400459993,irrigado
1498,-0.0038964550,0.0038964550,1.0399732713,nao_irrigado
1600,-0.0011771873,0.0011771873,1.0399416174,nao_irrigado
923,-0.0006357420,0.0006357420,1.0394762054,nao_irrigado
947,0.0080878668,0.0080878668,1.0394645408,irrigado
1879,-0.0036542670,0.0036542670,1.0394126293,nao_irrigado
1934,-0.0011244327,0.0011244327,1.0392566863,nao_irrigado
815,0.0067730623,0.0067730623,1.0392448365,irrigado
953,-0.0099078475,0.0099078475,1.0392039384,nao_irrigado
1599,0.0001995851,0.0001995851,1.0391465797,irrigado
922,0.0030300790,0.0030300790,1.0390141155,irrigado
941,0.0017721024,0.0017721024,1.0386049510,irrigado
709,0.0048261694,0.0048261694,1.0385912200,irrigado
1571,-0.0021501996,0.0021501996,1.0385015615,nao_irrigado
864,0.0059716771,0.0059716771,1.0383142766,irrigado
1497,-0.0033797041,0.0033797041,1.0380766283,nao_irrigado
1718,-0.0077662974,0.0077662974,1.0380542383,nao_irrigado
1845,-0.0043467397,0.0043467397,1.0380272756,nao_irrigado
1496,-0.0039537204,0.0039537204,1.0379782502,nao_irrigado
2061,0.0048590437,0.0048590437,1.0377415289,irrigado
2334,0.0029501460,0.0029501460,1.0376518052,irrigado
1099,0.0007502193,0.0007502193,1.0375401695,irrigado
1767,-0.0040805509,0.0040805509,1.0374927306,nao_irrigado
1813,0.0032800481,0.0032800481,1.0373314866,irrigado
1495,-0.0044227455,0.0044227455,1.0373264049,nao_irrigado
1770,-0.0042328364,0.0042328364,1.0372066416,nao_irrigado
865,0.0028307839,0.0028307839,1.0370845351,irrigado
1479,-0.0051731693,0.0051731693,1.0368075822,nao_irrigado
1494,-0.0046945308,0.0046945308,1.0367411142,nao_irrigado
925,-0.0077547764,0.0077547764,1.0366961726,nao_irrigado
2314,-0.0014915410,0.0014915410,1.0365649215,nao_irrigado
930,-0.0026707783,0.0026707783,1.0363377506,nao_irrigado
1598,0.0014547990,0.0014547990,1.0361307741,irrigado
1392,0.0034380970,0.0034380970,1.0360398408,irrigado
860,0.0001358107,0.0001358107,1.0353337725,irrigado
1878,-0.0029121571,0.0029121571,1.0352038790,nao_irrigado
