wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
2366,0.7843861782,-0.0048701857,-0.0001887915,-0.5291124485,2.8939953126e-27,5.1271194779e-27,-1.8812128348,nao_irrigado
1173,0.9814962619,-0.0167447328,-8.90372e-05,-0.5283024084,3.1807366356e-27,5.6304802552e-27,-0.8390474495,nao_irrigado
2346,0.8412421806,-0.0016378927,-0.0001840504,-0.5285041135,3.2840782805e-27,5.8086289915e-27,-1.5821707877,nao_irrigado
1788,1.2155077253,0.0086982931,0.0001045743,0.5280397907,3.35566667e-27,5.9303681527e-27,0.4002013694,irrigado
1843,1.0441195903,-0.0036088373,-0.0002918231,-0.5295924799,3.3970374538e-27,5.9985484703e-27,-0.5048362125,nao_irrigado
1368,0.9569623434,-0.000492684,-0.0004612735,-0.5279753726,4.5475701419e-27,8.0235863998e-27,-0.9725130988,nao_irrigado
916,0.9525623608,-0.0038484684,-4.6457e-05,-0.5265557869,4.7938984103e-27,8.4512614305e-27,-0.9993204394,nao_irrigado
1153,0.7899483879,0.0055664033,-0.0001890001,-0.5262643709,5.1700297824e-27,9.1068803298e-27,-1.8623556478,nao_irrigado
609,0.7926873199,0.0112536541,0.0004919662,0.5285039014,5.251354412e-27,9.2425557997e-27,-1.8430819125,irrigado
1991,0.9483024737,0.0016512664,-0.0003422088,-0.5264191124,5.2957168617e-27,9.3130078034e-27,-1.0229424609,nao_irrigado
1329,0.8483693117,0.0040530844,-0.000279648,-0.5255819642,6.2611784956e-27,1.1001858207e-26,-1.5556757881,nao_irrigado
2367,0.7854969635,-0.0044549971,-0.0001870042,-0.5245209005,7.6357519512e-27,1.3406234431e-26,-1.8927192298,nao_irrigado
610,0.7924700053,0.0115508504,0.0004928191,0.5246476913,1.1934961911e-26,2.0937333182e-26,-1.8589221315,irrigado
2347,0.8179450195,0.0011596901,-0.0001888142,-0.522309415,1.2444269213e-26,2.1812997177e-26,-1.7293112745,nao_irrigado
1322,1.015410829,-0.0007673124,-0.0002169877,-0.5218698776,1.444579745e-26,2.5300748753e-26,-0.6848758668,nao_irrigado
597,0.7405189536,-0.0040029193,0.0002530518,0.5233627005,1.5038929883e-26,2.6318127295e-26,-2.1388110893,irrigado
1772,1.0063947542,0.0012668344,-0.0001546323,-0.5226220291,1.5240500851e-26,2.6649175206e-26,-0.7314233141,nao_irrigado
2320,0.779517642,0.0052268338,-0.0002092823,-0.5210363676,1.5516795968e-26,2.711023946e-26,-1.937413939,nao_irrigado
980,0.8745817469,0.004823487,-5.89746e-05,-0.5204235969,1.7180417906e-26,2.9992459854e-26,-1.4357021728,nao_irrigado
1182,0.9050028901,-0.0083170249,-6.88004e-05,-0.5190234507,2.3079306187e-26,4.0257653405e-26,-1.279789012,nao_irrigado
1222,0.8634348513,0.0062050794,5.83176e-05,0.5190373437,2.3806255584e-26,4.149200588e-26,-1.5002948067,irrigado
2345,0.8718508287,-0.0004900242,-0.0001763179,-0.5185560337,2.7393123833e-26,4.7704880971e-26,-1.4578136071,nao_irrigado
1174,0.9737972614,-0.0169903945,-8.49186e-05,-0.5180964434,2.8216492657e-26,4.9098981959e-26,-0.9187370104,nao_irrigado
1330,0.8323388521,0.0047644289,-0.0002864635,-0.517822898,3.2437778263e-26,5.6398693761e-26,-1.6701047946,nao_irrigado
1367,0.9476707562,-0.0003094237,-0.0004294611,-0.5185443592,3.3144623224e-26,5.7581079472e-26,-1.0574562456,nao_irrigado
611,0.7905668308,0.0111056067,0.000487953,0.5195468671,3.4961038324e-26,6.0687618222e-26,-1.8883036103,irrigado
1215,0.8481623473,0.0093031701,5.82251e-05,0.517168344,3.574121406e-26,6.1991823257e-26,-1.588395408,irrigado
1183,0.8842662917,-0.0067002767,-6.67774e-05,-0.5167980065,3.7089289238e-26,6.4278131106e-26,-1.3981354497,nao_irrigado
2031,0.8709457717,0.0009501758,0.0002360991,0.5158039551,5.2771526069e-26,9.1382763516e-26,-1.4736049195,irrigado
1816,0.9807107947,0.0021299956,0.0001001813,0.5150958024,5.3947331988e-26,9.334365253e-26,-0.8935735266,irrigado
1184,0.8636681362,-0.0001796828,-6.44149e-05,-0.5149628356,5.4879050589e-26,9.4879388348e-26,-1.5142941501,nao_irrigado
1181,0.9111407871,-0.0082672354,-7.06143e-05,-0.514475764,6.0562030522e-26,1.0462042089e-25,-1.2645098963,nao_irrigado
1258,0.8076568214,-0.0053299634,4.17315e-05,0.5138397735,7.0394151308e-26,1.2150765555e-25,-1.8154931955,irrigado
885,0.9563398549,-0.0120159433,-4.84207e-05,-0.512870967,8.5491661938e-26,1.4744910233e-25,-1.0310973939,nao_irrigado
