wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
2073,1.0931780807,0.0143520447,0.0003532168,0.7428897382,3.430134050100e-50,8.956692677600e-50,0.6240850925,irrigado
2203,1.0733610232,-0.0045366669,0.0001613214,0.7367734725,7.883237279900e-50,2.050977834700e-49,0.4993701122,irrigado
641,0.8353727115,-0.0016172963,0.0007681553,0.7410773832,3.052755257600e-49,7.866152336400e-49,-0.7629201212,irrigado
2072,1.0951697642,0.0158207589,0.0003502368,0.7331791651,5.109530059400e-49,1.315015580600e-48,0.5928184566,irrigado
2204,1.0811530884,-0.0070081730,0.0001576312,0.7290039380,6.977273283400e-49,1.793559842800e-48,0.5070588477,irrigado
1490,1.0233363810,-0.0065413759,0.0003397077,0.7341715461,1.125074878600e-48,2.881747215800e-48,0.2082285794,irrigado
718,0.9142336974,0.0050431758,0.0020969290,0.7307153040,1.138062466100e-48,2.911543142400e-48,-0.3775944407,irrigado
2223,1.0760588569,-0.0074988046,0.0001050966,0.7257348562,1.692411512600e-48,4.319468337900e-48,0.4661774347,irrigado
2205,1.0858938806,-0.0085745871,0.0001540792,0.7235360739,3.182856797100e-48,8.113830672600e-48,0.5086611868,irrigado
742,0.8329289640,-0.0027883106,0.0017373004,0.7237688945,3.642203467600e-48,9.273809540200e-48,-0.8325316865,irrigado
1670,1.3681754438,0.0092446647,0.0001112333,0.7224274449,5.304397968600e-48,1.349011980400e-47,1.9983758009,irrigado
2071,1.0956091661,0.0169401200,0.0003474566,0.7243899539,5.792518193800e-48,1.471409172400e-47,0.5574222172,irrigado
1811,1.1335395161,-0.0048110017,0.0001244735,0.7189702286,1.100549338300e-47,2.779178058900e-47,0.7417572046,irrigado
2206,1.0862164005,-0.0100484292,0.0001503634,0.7171864040,1.833761761000e-47,4.609069034400e-47,0.4831751709,irrigado
1792,1.2502603213,-0.0013073102,0.0001332042,0.7154445881,2.909786486300e-47,7.288031653800e-47,1.3452601070,irrigado
2070,1.0961593472,0.0181951867,0.0003451497,0.7174110223,3.943748428000e-47,9.866257708700e-47,0.5304960840,irrigado
640,0.8234133364,-0.0024851761,0.0007260284,0.7189587672,1.060600185200e-46,2.641054227200e-46,-0.9192290712,irrigado
2207,1.0781520502,-0.0078977394,0.0001465967,0.7097685941,1.398946979900e-46,3.467516793200e-46,0.4087520711,irrigado
2209,1.0795178617,0.0010248500,0.0001437586,0.7094711357,1.505978506000e-46,3.728511301100e-46,0.4147844585,irrigado
2069,1.0924358500,0.0174608046,0.0003421580,0.7092784851,3.592210228100e-46,8.852820848900e-46,0.4761664583,irrigado
2210,1.0838958510,0.0065117612,0.0001416120,0.7060007363,3.886209307600e-46,9.544530059400e-46,0.4231960425,irrigado
2208,1.0699825508,-0.0043765716,0.0001441975,0.7035365149,7.634042755600e-46,1.866388837500e-45,0.3389308088,irrigado
1489,1.0231319012,-0.0071779022,0.0003237222,0.7072571952,1.551656741000e-45,3.776342396800e-45,0.0932948894,irrigado
2231,0.9930367598,-0.0046081065,0.0000861936,0.7002244640,1.976605931900e-45,4.799690562200e-45,-0.0833503120,irrigado
2068,1.0863911067,0.0161198733,0.0003389753,0.7010028191,3.331930112400e-45,8.072511625100e-45,0.4090991388,irrigado
2222,1.0580753107,-0.0064369584,0.0001064473,0.6915759196,1.945090517300e-44,4.686098118400e-44,0.2249739155,irrigado
2067,1.0807556927,0.0152463057,0.0003358652,0.6936572169,2.375120466300e-44,5.715715433500e-44,0.3481733748,irrigado
2211,1.0781767373,0.0090203903,0.0001372698,0.6906127291,2.505508296400e-44,6.022748690100e-44,0.3274793629,irrigado
743,0.8178018974,-0.0024946093,0.0015556416,0.6879597343,6.199976487700e-44,1.483713749700e-43,-1.0651790513,irrigado
639,0.8109313570,-0.0029513985,0.0006672838,0.6926602510,9.854301008700e-44,2.347770827900e-43,-1.0949019360,irrigado
2066,1.0730443487,0.0138642251,0.0003330379,0.6867383618,1.483929140800e-43,3.527614738400e-43,0.2782320610,irrigado
669,1.0819983087,-0.0062162626,0.0002749221,0.6837957942,1.573437209100e-43,3.736261394900e-43,0.3188426069,irrigado
1251,0.9479959408,0.0088114762,0.0000589769,0.6830290438,2.079673448600e-43,4.922046521100e-43,-0.3951380729,irrigado
1250,0.9168819468,0.0062284272,0.0000594344,0.6814004765,3.256682203000e-43,7.690780279300e-43,-0.5670178922,irrigado
1252,0.9743071334,0.0101468311,0.0000576142,0.6807622639,3.766929999000e-43,8.885985255500e-43,-0.2651756690,irrigado
1791,1.2518864341,0.0040498704,0.0001269359,0.6787762402,5.880408116200e-43,1.384117967300e-42,1.1982115416,irrigado
2065,1.0641716516,0.0118773134,0.0003303561,0.6810676723,6.581915079100e-43,1.547542177800e-42,0.2074808637,irrigado
1812,1.0764729222,-0.0034975790,0.0001199915,0.6782432813,6.792020485200e-43,1.595196942400e-42,0.2662976963,irrigado
2064,1.0548731080,0.0099844828,0.0003278762,0.6758588377,2.555908642400e-42,5.957318516900e-42,0.1364842281,irrigado
1488,1.0233785349,-0.0066035295,0.0003068697,0.6786332167,2.693948850300e-42,6.272260107500e-42,-0.0247931013,irrigado
2063,1.0465035698,0.0087841068,0.0003263663,0.6728109347,5.610508264400e-42,1.300645335500e-41,0.0794812220,irrigado
2212,1.0645690618,0.0087666594,0.0001325857,0.6689082892,7.914062632000e-42,1.828744150100e-41,0.1641101429,irrigado
2062,1.0397541505,0.0076992861,0.0003249618,0.6691601640,1.432960962300e-41,3.307661770000e-41,0.0285777892,irrigado
1233,0.8711181468,-0.0004795302,0.0000631301,0.6642040146,2.931736482500e-41,6.723907898400e-41,-0.8814105809,irrigado
2221,1.0443622765,-0.0064906102,0.0001073469,0.6622371652,4.521124613900e-41,1.034706794000e-40,0.0291536770,irrigado
1253,0.9562600447,0.0052365261,0.0000553690,0.6612416489,6.248743918800e-41,1.425536165800e-40,-0.4424070243,irrigado
1249,0.8845717259,0.0044233026,0.0000588507,0.6613406179,6.340134589700e-41,1.444851456300e-40,-0.8222309874,irrigado
2061,1.0329689657,0.0057687457,0.0003223723,0.6629974373,6.925251031500e-41,1.576521659600e-40,-0.0328192519,irrigado
1232,0.8851575211,0.0031615739,0.0000633883,0.6592929549,1.061729042100e-40,2.411898215000e-40,-0.8275284673,irrigado
