wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
1343,0.7629177874,0.0030234425,-0.0002720959,-0.3890622565,1.083142582000e-15,1.536418091600e-15,-2.5032419828,nao_irrigado
1317,1.0387162478,-0.0031220630,-0.0001653042,-0.3890359972,1.116627118600e-15,1.582870499900e-15,-1.0418449071,nao_irrigado
1356,0.8163301328,0.0024600561,-0.0002520263,-0.3886637835,1.170276688300e-15,1.657827688300e-15,-2.2216186401,nao_irrigado
783,0.8955387735,0.0031030231,-0.0000656751,-0.3883539705,1.181572198200e-15,1.672726386000e-15,-1.8025695616,nao_irrigado
2329,1.0124982875,0.0131406261,-0.0001333781,-0.3852567666,2.028005023400e-15,2.865340430800e-15,-1.1935887510,nao_irrigado
888,0.9332426153,-0.0112475359,-0.0000390072,-0.3813969032,3.677234763200e-15,5.185287077500e-15,-1.6265962299,nao_irrigado
2379,0.7673868053,-0.0026543835,-0.0001384784,-0.3810789217,3.909270477400e-15,5.508867053100e-15,-2.5067611480,nao_irrigado
787,0.9139361082,0.0138708262,-0.0000534715,-0.3807788179,4.064577480700e-15,5.723969204400e-15,-1.7310233678,nao_irrigado
788,0.9217346888,0.0136695551,-0.0000513373,-0.3806735858,4.136342103700e-15,5.821217538200e-15,-1.6900509628,nao_irrigado
1137,0.8142644412,-0.0029175360,-0.0002125633,-0.3807595838,4.209324132400e-15,5.920050759500e-15,-2.2595671339,nao_irrigado
789,0.9195673180,0.0097081410,-0.0000495991,-0.3804729508,4.271909524100e-15,6.004142293800e-15,-1.7022124726,nao_irrigado
1344,0.7636201986,0.0054131968,-0.0002655729,-0.3798097440,4.890907767100e-15,6.865160543100e-15,-2.5311801244,nao_irrigado
1355,0.8073148635,0.0035820073,-0.0002469484,-0.3793409474,5.314156081000e-15,7.454387348700e-15,-2.3012602228,nao_irrigado
804,0.9204956951,-0.0039303894,-0.0000451953,-0.3789347454,5.481703701100e-15,7.684397425700e-15,-1.7025393429,nao_irrigado
784,0.9042965741,0.0044795117,-0.0000611308,-0.3784627566,5.898338918000e-15,8.257674485200e-15,-1.7899729273,nao_irrigado
773,0.8424632072,0.0072523135,-0.0001196229,-0.3774873756,6.896959098600e-15,9.649456447100e-15,-2.1210007762,nao_irrigado
2331,1.0985448628,0.0175765265,-0.0001283323,-0.3764890465,8.317891947200e-15,1.161478219300e-14,-0.7674126300,nao_irrigado
902,1.0447422280,0.0056758829,-0.0000343146,-0.3756405240,9.272880043900e-15,1.293148553800e-14,-1.0552303708,nao_irrigado
358,0.8483249152,0.0053993378,-0.0026483747,-0.3749440198,1.038339126800e-14,1.446137902500e-14,-2.0985844336,nao_irrigado
