sample_name,data_coleta,genotipo,condicao,PC1,PC2
B4_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0.0356308666,-0.0048739058
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,-0.0487154848,0.0048257209
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,-0.0486635443,-0.0007487233
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,-0.0480630009,-0.0062232179
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,-0.0476481020,-0.0005970812
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,-0.0452110182,0.0115607274
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,-0.0452341200,0.0060228464
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,-0.0452284563,0.0102243287
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,-0.0451302578,0.0070648683
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,-0.0511208618,0.0136534825
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,-0.0508287131,0.0059272214
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,-0.0497510463,0.0134375357
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,-0.0494731136,0.0217526518
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,-0.0653402785,0.0072645776
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,-0.0647788220,0.0079809132
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,-0.0635438788,0.0103598547
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,-0.0633154641,0.0092758674
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,0.0032068904,0.0122796188
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,0.0035471296,-0.0003527490
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,0.0037792665,0.0063113865
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,0.0035268299,0.0036680023
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,0.0211946265,0.0118648199
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,0.0204160359,0.0003023328
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,0.0206861250,0.0036415263
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,0.0209791839,0.0032782127
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0.0308100491,-0.0154443354
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0.0311656590,-0.0035316162
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0.0304533700,-0.0116973313
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0.0304430579,-0.0081907929
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,-0.0027087574,0.0110733506
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,-0.0012368501,0.0150466080
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,-0.0005662385,0.0216105444
B1_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,-0.0005208057,0.0104343984
B1_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,-0.0016126354,0.0182807805
B1_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,-0.0023660547,0.0086951221
B1_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,-0.0029075268,0.0009004216
B1_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,-0.0027846112,0.0028265692
B1_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,0.0188862184,-0.0089888620
B1_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,0.0189399612,-0.0165980703
B1_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,0.0197133081,-0.0086648506
B1_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,0.0198277015,-0.0064027815
B1_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0.0695691712,-0.0075738561
B1_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0.0712930327,-0.0091308418
B1_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0.0727503289,-0.0168892819
B1_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0.0741203336,-0.0070458776
B1_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0.0967631031,-0.0138705595
B1_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0.0976657008,-0.0126842975
B1_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0.0982848153,-0.0159059412
B1_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0.0996217625,-0.0105158855
B2_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,-0.0443871782,0.0209200263
B2_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,-0.0435652155,0.0119698871
B2_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,-0.0423954387,0.0065201910
B2_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,-0.0405472120,0.0238732601
