target,classe,dia,tempo,banda_nm,reflectancia_media,n_amostras_efetivo
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,401,0.0670577081,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,400,0.067951957,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,550,0.1286687898,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-26,2017-02-26|MANHA,530,0.1148515072,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,720,0.3026106632,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,401,0.1026192786,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,400,0.1032008243,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,550,0.1268910016,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,530,0.116778647,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,720,0.3596555293,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,401,0.0645516988,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,400,0.0652012547,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,550,0.1381755574,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-26,2017-02-26|MANHA,530,0.1229423823,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,720,0.2853376893,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,401,0.1058730027,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,400,0.1060031482,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,550,0.1163103222,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,530,0.1081432404,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,720,0.3347251621,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,401,0.0631228473,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,400,0.0631981453,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,550,0.1090776177,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-02-27,2017-02-27|MANHA,530,0.097454862,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,720,0.3018841817,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,401,0.1064539128,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,400,0.1079289676,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,550,0.1263425284,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,530,0.1174616848,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,720,0.3374819427,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,401,0.0646082918,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,400,0.0658237604,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,550,0.1148374928,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-02-27,2017-02-27|MANHA,530,0.1027465995,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,720,0.3053361532,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,401,0.109866071,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,400,0.110783696,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,550,0.1303580388,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,530,0.1207159496,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,720,0.3677582265,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,401,0.0661399559,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,400,0.0668721069,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,550,0.1368476549,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-02-27,2017-02-27|MANHA,530,0.1208816245,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,720,0.3007537703,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,401,0.0897593895,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,400,0.0903565758,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,550,0.1117752401,32
condicao_genotipo_turno,irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,530,0.1020513447,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,720,0.3197803765,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,401,0.0624989564,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,400,0.0619131967,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,550,0.102010983,32
condicao_genotipo_turno,nao_irrigado|BR16|MANHA,2017-03-02,2017-03-02|MANHA,530,0.090511528,32
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,720,0.3004885872,36
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,401,0.0952539596,36
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,400,0.0958862883,36
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,550,0.1165191748,36
condicao_genotipo_turno,irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,530,0.1074795363,36
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,720,0.3465094702,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,401,0.068496223,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,400,0.068604093,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,550,0.122803514,32
condicao_genotipo_turno,nao_irrigado|CD202|MANHA,2017-03-02,2017-03-02|MANHA,530,0.1096180261,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,720,0.2954609202,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,401,0.0918670393,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,400,0.0924850514,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,550,0.1160325006,32
condicao_genotipo_turno,irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,530,0.1059257359,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,720,0.3400369875,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,401,0.0611895647,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,400,0.0616105958,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,550,0.1194068311,32
condicao_genotipo_turno,nao_irrigado|EMB48|MANHA,2017-03-02,2017-03-02|MANHA,530,0.1052305241,32
