analysis,wavelength_nm,obs_score,p_perm,q_fdr_bh_perm,significativo_perm_fdr_0_05
gen,1730.0,0.4167865352638524,0.17970049916805325,0.6772046589018303,False
gen,519.0,0.41254259213646133,0.7870216306156406,1.0,False
gen,630.0,0.4077476663339236,0.632279534109817,1.0,False
gen,553.0,0.3928199026740468,0.7753743760399334,1.0,False
gen,1386.0,0.38262726675363734,0.8635607321131448,1.0,False
gen,980.0,0.3761429990264929,0.5790349417637272,1.0,False
gen,540.0,0.37538465431917145,0.18302828618968386,0.6772046589018303,False
gen,1360.0,0.3717853328932224,0.8036605657237936,1.0,False
gen,1369.0,0.35340255921495917,0.9417637271214643,1.0,False
gen,1359.0,0.35050830602486166,0.8569051580698835,1.0,False
gen,2189.0,0.34943913027404755,1.0,1.0,False
gen,400.0,0.3370351801266961,0.9833610648918469,1.0,False
gen,1835.0,0.33405901984767655,1.0,1.0,False
gen,1726.0,0.3334532019305191,0.26955074875207985,0.883208836336602,False
gen,546.0,0.32587351566434314,0.20299500831946754,0.6946940284710666,False
gen,1400.0,0.30968838001560683,0.908485856905158,1.0,False
gen,679.0,0.3053314814241288,1.0,1.0,False
gen,640.0,0.30235386012046633,0.5257903494176372,1.0,False
gen,620.0,0.29309697279629343,0.5257903494176372,1.0,False
gen,956.0,0.29280966569315964,0.47753743760399336,1.0,False
gen,530.0,0.29205132098583814,0.281198003327787,0.9021769273433167,False
gen,1390.0,0.2704807885631931,0.8552412645590682,1.0,False
gen,1886.0,0.25185257638222,0.8951747088186356,1.0,False
gen,1689.0,0.2506515211007487,0.7703826955074875,1.0,False
gen,1384.0,0.23797424376150972,0.8752079866888519,1.0,False
gen,1379.0,0.23353399721139456,0.627287853577371,1.0,False
gen,1410.0,0.21911329735647433,0.9334442595673876,1.0,False
gen,1694.0,0.17659729915636996,0.9500831946755408,1.0,False
gen_cond,400.0,0.7137234541035491,0.0016638935108153079,0.01281198003327787,True
gen_cond,521.0,0.662668344551489,0.0016638935108153079,0.01281198003327787,True
gen_cond,417.0,0.651616853171087,0.0016638935108153079,0.01281198003327787,True
gen_cond,528.0,0.6441925224657313,0.0016638935108153079,0.01281198003327787,True
gen_cond,707.0,0.6434700125291672,0.0016638935108153079,0.01281198003327787,True
gen_cond,717.0,0.6265077588498342,0.0016638935108153079,0.01281198003327787,True
