target,model,classes,n_classes,n_samples,n_groups,cv_splits,n_bandas,bandas,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,scenario_id,analysis,dia_code,dia,turno_code,turno,validation_mode,split_seed
gen_cond,k-NN (k=5),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_528|band_1510|band_720|band_620|band_1349,0.20833333333333331,0.15957118462605635,0.20833333333333331,0.15957118462605635,0.13888888888888887,0.12213801813215665,0.04999999999999993,0.19148542155126752,,,TOP5_gen_cond_D02T_TARDE,gen_cond,02,dia2,T,TARDE,cv_grouped,42
gen_cond,XGBoost,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_528|band_1510|band_720|band_620|band_1349,0.4583333333333333,0.15957118462605635,0.4583333333333333,0.15957118462605635,0.37499999999999994,0.17198310760191396,0.34999999999999987,0.19148542155126763,,,TOP5_gen_cond_D02T_TARDE,gen_cond,02,dia2,T,TARDE,cv_grouped,42
gen_cond,Random Forest,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_400|band_550|band_720|band_1527|band_741,0.625,0.25,0.625,0.25,0.5486111111111112,0.30121069147431706,0.55,0.3,,,TOP5_gen_cond_D03M_MANHA,gen_cond,03,dia3,M,MANHA,cv_grouped,42
gen_cond,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_400|band_550|band_720|band_1527|band_741,0.625,0.25,0.625,0.25,0.5486111111111112,0.30121069147431706,0.55,0.3,,,TOP5_gen_cond_D03M_MANHA,gen_cond,03,dia3,M,MANHA,cv_grouped,42
gen_cond,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_400|band_550|band_720|band_1527|band_741,0.7916666666666666,0.15957118462605638,0.7916666666666666,0.15957118462605638,0.7222222222222221,0.2127615795014085,0.75,0.1914854215512676,,,TOP5_gen_cond_D03M_MANHA,gen_cond,03,dia3,M,MANHA,cv_grouped,42
gen_cond,k-NN (k=5),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_400|band_550|band_720|band_1527|band_741,0.5416666666666667,0.2097176232019653,0.5416666666666667,0.2097176232019653,0.4444444444444445,0.2453266907313291,0.45,0.2516611478423584,,,TOP5_gen_cond_D03M_MANHA,gen_cond,03,dia3,M,MANHA,cv_grouped,42
gen_cond,XGBoost,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_400|band_550|band_720|band_1527|band_741,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.4999999999999999,0.15044515564140665,0.5,0.2000000000000001,,,TOP5_gen_cond_D03M_MANHA,gen_cond,03,dia3,M,MANHA,cv_grouped,42
gen_cond,Random Forest,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_707|band_1349|band_740|band_1490|band_519,0.625,0.28463752127665554,0.625,0.28463752127665554,0.5625,0.3273969853377249,0.55,0.34156502553198653,,,TOP5_gen_cond_D03T_TARDE,gen_cond,03,dia3,T,TARDE,cv_grouped,42
gen_cond,SVM (RBF),IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_707|band_1349|band_740|band_1490|band_519,0.6666666666666666,0.23570226039551584,0.6666666666666666,0.23570226039551584,0.611111111111111,0.2693155476342405,0.6000000000000001,0.28284271247461895,,,TOP5_gen_cond_D03T_TARDE,gen_cond,03,dia3,T,TARDE,cv_grouped,42
gen_cond,LDA,IRR|BR16; IRR|CD202; IRR|EMB48; NIRR|BR16; NIRR|CD202; NIRR|EMB48,6,24,24,4,5,band_707|band_1349|band_740|band_1490|band_519,0.6666666666666666,0.23570226039551584,0.6666666666666666,0.23570226039551584,0.6041666666666666,0.28179958876913336,0.6000000000000001,0.28284271247461895,,,TOP5_gen_cond_D03T_TARDE,gen_cond,03,dia3,T,TARDE,cv_grouped,42
