data_coleta_iso,genotipo,turno,n_components,rmsecv,r2cv,auc,accuracy
2017-02-23,EMB48,tarde,2,0.280610916192501,0.6850300548544207,0.9873046875,0.953125
2017-02-23,EMB48,tarde,3,0.25488391047260167,0.7401367687287791,0.9912109375,0.90625
2017-02-23,EMB48,tarde,4,0.2137737854210832,0.8172030746669627,1.0,1.0
2017-02-23,EMB48,tarde,5,0.20377674680332078,0.8339001498490212,1.0,0.984375
2017-02-23,EMB48,tarde,6,0.17434761170550742,0.8784116411703424,1.0,1.0
2017-02-23,EMB48,tarde,7,0.15819370768880633,0.899899003390674,1.0,1.0
2017-02-23,EMB48,tarde,8,0.14835606728937573,0.9119619091937209,1.0,1.0
2017-02-23,EMB48,tarde,9,0.13564021029269982,0.9264069334070086,1.0,1.0
2017-02-23,EMB48,tarde,10,0.12725888731593304,0.9352207023964426,1.0,1.0
2017-02-23,EMB48,tarde,11,0.1275047030874799,0.9349702027622944,1.0,1.0
2017-02-23,EMB48,tarde,12,0.12437090523468611,0.9381275117244189,1.0,1.0
2017-02-23,EMB48,tarde,13,0.12189740577590107,0.9405640898604213,1.0,1.0
2017-02-23,EMB48,tarde,14,0.12159668943041513,0.9408569804782527,1.0,1.0
2017-02-23,EMB48,tarde,15,0.12106575258722398,0.9413723342019563,1.0,1.0
2017-02-24,BR16,manha,1,0.23711697838034249,0.7751021542551048,0.984375,0.9375
2017-02-24,BR16,manha,2,0.1443481128510898,0.9166544892653161,1.0,1.0
2017-02-24,BR16,manha,3,0.11583545359225683,0.9463285907643044,1.0,1.0
2017-02-24,BR16,manha,4,0.10957956097974242,0.9519692792619476,1.0,1.0
2017-02-24,BR16,manha,5,0.08953045406250991,0.9679371911814432,1.0,1.0
2017-02-24,BR16,manha,6,0.08713824727177569,0.9696277034496115,1.0,1.0
2017-02-24,BR16,manha,7,0.07961796963914922,0.974643915642158,1.0,1.0
2017-02-24,BR16,manha,8,0.07374850541107787,0.9782446317985288,1.0,1.0
2017-02-24,BR16,manha,9,0.07084073812011801,0.9799263592903874,1.0,1.0
2017-02-24,BR16,manha,10,0.06603356167466654,0.9825582749302321,1.0,1.0
2017-02-24,BR16,manha,11,0.06536196609108398,0.982911253554832,1.0,1.0
2017-02-24,BR16,manha,12,0.06526954497215326,0.9829595459965123,1.0,1.0
2017-02-24,BR16,manha,13,0.06484393582874966,0.983181055944948,1.0,1.0
2017-02-24,BR16,manha,14,0.06473867335477096,0.9832356166890571,1.0,1.0
2017-02-24,BR16,manha,15,0.06475946219039484,0.9832248482272433,1.0,1.0
2017-02-24,BR16,tarde,1,0.28792525744991593,0.6683961844895985,0.9345703125,0.921875
2017-02-24,BR16,tarde,2,0.23635113802832014,0.7765525582108719,0.9931640625,0.921875
2017-02-24,BR16,tarde,3,0.18894305391650124,0.8572020895068244,1.0,1.0
2017-02-24,BR16,tarde,4,0.1307990090286059,0.9315664769485387,1.0,1.0
2017-02-24,BR16,tarde,5,0.110150716248432,0.9514672788398296,1.0,1.0
2017-02-24,BR16,tarde,6,0.09822175697211215,0.9614099458292453,1.0,1.0
2017-02-24,BR16,tarde,7,0.08867409248747211,0.968547621286093,1.0,1.0
2017-02-24,BR16,tarde,8,0.08866292117723575,0.9685555456332772,1.0,1.0
2017-02-24,BR16,tarde,9,0.08362134659276795,0.9720298815760487,1.0,1.0
2017-02-24,BR16,tarde,10,0.08062735577572022,0.9739969180024617,1.0,1.0
2017-02-24,BR16,tarde,11,0.07866715057664705,0.9752459176806045,1.0,1.0
2017-02-24,BR16,tarde,12,0.07870423566910618,0.9752225731509672,1.0,1.0
2017-02-24,BR16,tarde,13,0.07788389275136293,0.9757363969995768,1.0,1.0
2017-02-24,BR16,tarde,14,0.0778353670405793,0.9757666225506332,1.0,1.0
2017-02-24,BR16,tarde,15,0.07852778540499784,0.9753335476775464,1.0,1.0
2017-02-24,CD202,manha,1,0.20049117577769143,0.8392131537411154,1.0,0.984375
2017-02-24,CD202,manha,2,0.09950408150200407,0.9603957510577701,1.0,1.0
2017-02-24,CD202,manha,3,0.06374836031713214,0.9837445862275084,1.0,1.0
2017-02-24,CD202,manha,4,0.046130047961809695,0.9914880747001645,1.0,1.0
2017-02-24,CD202,manha,5,0.04527129383119863,0.9918020398193971,1.0,1.0
2017-02-24,CD202,manha,6,0.038133456459884044,0.9941833579936885,1.0,1.0
2017-02-24,CD202,manha,7,0.03578215693550976,0.9948785489801703,1.0,1.0
2017-02-24,CD202,manha,8,0.03516739287051707,0.9950530179147629,1.0,1.0
2017-02-24,CD202,manha,9,0.03461977676281705,0.9952058842275708,1.0,1.0
2017-02-24,CD202,manha,10,0.034042426658520496,0.995364452748797,1.0,1.0
2017-02-24,CD202,manha,11,0.03332248949566071,0.9955584467752463,1.0,1.0
2017-02-24,CD202,manha,12,0.0337152261677576,0.9954531340978278,1.0,1.0
2017-02-24,CD202,manha,13,0.03373057097960045,0.9954489943255606,1.0,1.0
2017-02-24,CD202,manha,14,0.033834601847569375,0.9954208788712658,1.0,1.0
2017-02-24,CD202,manha,15,0.033704934719314586,0.9954559095022669,1.0,1.0
2017-02-24,CD202,tarde,1,0.36819460999689574,0.45773091667693544,0.9072265625,0.859375
2017-02-24,CD202,tarde,2,0.3198311002365992,0.5908322692857857,0.9697265625,0.875
2017-02-24,CD202,tarde,3,0.27990942661321205,0.6866028515722515,0.9775390625,0.890625
2017-02-24,CD202,tarde,4,0.2347697626703411,0.7795326341428468,0.990234375,0.96875
2017-02-24,CD202,tarde,5,0.20269676208374193,0.8356560905630677,1.0,1.0
2017-02-24,CD202,tarde,6,0.17446013376907554,0.8782546469011051,1.0,1.0
2017-02-24,CD202,tarde,7,0.1444112602538675,0.9165815516475591,1.0,1.0
2017-02-24,CD202,tarde,8,0.12315023162941921,0.9393360817984816,1.0,1.0
2017-02-24,CD202,tarde,9,0.10864256112788108,0.9527871756462984,1.0,1.0
2017-02-24,CD202,tarde,10,0.10796979853435956,0.9533700904177992,1.0,1.0
2017-02-24,CD202,tarde,11,0.10702408684676105,0.9541833793384678,1.0,1.0
2017-02-24,CD202,tarde,12,0.10690310924608837,0.9542869009340755,1.0,1.0
2017-02-24,CD202,tarde,13,0.10630368655565166,0.9547981048987111,1.0,1.0
2017-02-24,CD202,tarde,14,0.1061075516643095,0.9549647499192235,1.0,1.0
2017-02-24,CD202,tarde,15,0.10633671917808693,0.9547700086177627,1.0,1.0
2017-02-24,EMB48,manha,1,0.2035899301108308,0.8342045614298681,1.0,1.0
2017-02-24,EMB48,manha,2,0.13271148396279933,0.9295506480975666,1.0,1.0
2017-02-24,EMB48,manha,3,0.0919187267411906,0.9662037906971134,1.0,1.0
2017-02-24,EMB48,manha,4,0.07871935416933878,0.9752130531166489,1.0,1.0
2017-02-24,EMB48,manha,5,0.06578380609199873,0.9826899634242012,1.0,1.0
2017-02-24,EMB48,manha,6,0.050426071682226924,0.9898288451787957,1.0,1.0
2017-02-24,EMB48,manha,7,0.047977377920778136,0.9907926848313873,1.0,1.0
2017-02-24,EMB48,manha,8,0.04090687861373596,0.9933065091283243,1.0,1.0
2017-02-24,EMB48,manha,9,0.03773508797291405,0.9943042525427057,1.0,1.0
2017-02-24,EMB48,manha,10,0.03669232523941508,0.9946146930740999,1.0,1.0
2017-02-24,EMB48,manha,11,0.03580516078974626,0.9948719618432816,1.0,1.0
