direction,wavelength,occurrences,subset_frequency,mean_rank,best_rank,mean_vip,mean_coefficient,mean_abs_coefficient,mean_score
nao_irrigado,447,1,0.037037037037037035,3.0,3,1.5969880515840165,-0.0070273438693383185,0.0070273438693383185,8.42127705921268
nao_irrigado,2302,1,0.037037037037037035,3.0,3,1.558909830377567,-0.006469348541946396,0.006469348541946396,8.286086042740655
nao_irrigado,548,1,0.037037037037037035,3.0,3,1.5348549332420796,-0.0025379804563905413,0.0025379804563905413,8.225497388439994
nao_irrigado,1732,1,0.037037037037037035,3.0,3,1.5641245906509635,-0.004846301534387444,0.004846301534387444,8.172741295871266
nao_irrigado,845,1,0.037037037037037035,3.0,3,1.579915792275852,-0.004792283385173427,0.004792283385173427,7.663582771409425
nao_irrigado,1078,1,0.037037037037037035,3.0,3,1.180578682224646,-0.003914520932762471,0.003914520932762471,6.026608646537148
nao_irrigado,836,1,0.037037037037037035,3.0,3,1.376423122527976,-0.0015767729944303574,0.0015767729944303574,5.668373423599485
nao_irrigado,394,1,0.037037037037037035,3.0,3,1.265505796205047,-0.0022201088265307533,0.0022201088265307533,5.391518665969851
nao_irrigado,416,1,0.037037037037037035,3.0,3,1.187440855900824,-0.0022356946259515014,0.0022356946259515014,5.377843449332544
nao_irrigado,431,1,0.037037037037037035,3.0,3,1.4265597192097446,-0.003253974022744108,0.003253974022744108,5.26023203848616
nao_irrigado,978,1,0.037037037037037035,4.0,4,1.5227735887717744,-0.009682563356615728,0.009682563356615728,9.30901682990279
nao_irrigado,399,1,0.037037037037037035,4.0,4,1.669980793864053,-0.008017740953922084,0.008017740953922084,9.147899944531055
nao_irrigado,630,1,0.037037037037037035,4.0,4,1.5688806837959002,-0.004918457992917017,0.004918457992917017,8.587193545015774
nao_irrigado,2305,1,0.037037037037037035,4.0,4,1.5131883328616713,-0.006688457674546783,0.006688457674546783,8.213018966872792
nao_irrigado,808,1,0.037037037037037035,4.0,4,1.5388183177040038,-0.005366131682186035,0.005366131682186035,7.215542708667165
nao_irrigado,989,1,0.037037037037037035,4.0,4,1.4049406464498064,-0.006426697660927289,0.006426697660927289,7.122516159483048
nao_irrigado,1452,1,0.037037037037037035,4.0,4,1.4918807680393618,-0.003925347453700132,0.003925347453700132,6.981256644446123
nao_irrigado,856,1,0.037037037037037035,4.0,4,1.3463064307872978,-0.001624324467811742,0.001624324467811742,5.5821388124118165
