data_coleta_iso,genotipo,turno,r2cv,rmsecv,auc,accuracy,best_components,rank,wavelength,range_label,range_start,range_end,direction,vip,coefficient,abs_coefficient,score
2017-02-24,CD202,manha,0.9955584467752463,0.03332248949566071,1.0,1.0,11,3,836,NIR,700,1300,nao_irrigado,1.376423122527976,-0.0015767729944303574,0.0015767729944303574,5.668373423599485
2017-02-24,CD202,manha,0.9955584467752463,0.03332248949566071,1.0,1.0,11,4,856,NIR,700,1300,nao_irrigado,1.3463064307872978,-0.001624324467811742,0.001624324467811742,5.5821388124118165
2017-02-24,CD202,manha,0.9955584467752463,0.03332248949566071,1.0,1.0,11,5,835,NIR,700,1300,nao_irrigado,1.3594795304884606,-0.0015832562713089492,0.0015832562713089492,5.5649563348844975
2017-02-24,CD202,tarde,0.9549647499192235,0.1061075516643095,1.0,1.0,14,1,552,VIS,350,699,nao_irrigado,1.7863758505822662,-0.008109440767703972,0.008109440767703972,9.81315959461735
2017-02-24,CD202,tarde,0.9549647499192235,0.1061075516643095,1.0,1.0,14,2,553,VIS,350,699,nao_irrigado,1.7979342884518408,-0.007889235068954467,0.007889235068954467,9.725258204030624
2017-02-24,CD202,tarde,0.9549647499192235,0.1061075516643095,1.0,1.0,14,3,977,NIR,700,1300,nao_irrigado,1.507747786349209,-0.009832886054647078,0.009832886054647078,9.324399673999363
2017-02-24,CD202,tarde,0.9549647499192235,0.1061075516643095,1.0,1.0,14,4,978,NIR,700,1300,nao_irrigado,1.5227735887717744,-0.009682563356615728,0.009682563356615728,9.30901682990279
2017-02-24,CD202,tarde,0.9549647499192235,0.1061075516643095,1.0,1.0,14,5,979,NIR,700,1300,nao_irrigado,1.4882061579005468,-0.00931516796737351,0.00931516796737351,8.82559045965564
2017-02-24,EMB48,manha,0.9948719618432816,0.03580516078974626,1.0,1.0,11,1,363,VIS,350,699,irrigado,1.446550836082208,0.0024450978856304815,0.0024450978856304815,7.377996629934136
2017-02-24,EMB48,manha,0.9948719618432816,0.03580516078974626,1.0,1.0,11,2,1663,SWIR1,1301,1800,irrigado,1.4343318817552377,0.002337932688764234,0.002337932688764234,7.051711457653596
2017-02-24,EMB48,manha,0.9948719618432816,0.03580516078974626,1.0,1.0,11,3,364,VIS,350,699,irrigado,1.384655979328524,0.0024704227261034242,0.0024704227261034242,6.991698312076952
2017-02-24,EMB48,manha,0.9948719618432816,0.03580516078974626,1.0,1.0,11,4,1664,SWIR1,1301,1800,irrigado,1.423241021909328,0.002133847205627841,0.002133847205627841,6.517452640410012
2017-02-24,EMB48,manha,0.9948719618432816,0.03580516078974626,1.0,1.0,11,5,1662,SWIR1,1301,1800,irrigado,1.3732714333768465,0.0021528979528601666,0.0021528979528601666,6.202473295646612
2017-02-24,EMB48,tarde,0.974238595701266,0.08025179795296486,1.0,1.0,15,1,2237,SWIR2,1801,2500,irrigado,1.567239710933942,0.003916476171646759,0.003916476171646759,7.46179921814262
2017-02-24,EMB48,tarde,0.974238595701266,0.08025179795296486,1.0,1.0,15,2,2236,SWIR2,1801,2500,irrigado,1.5732038444713532,0.0035482583777512043,0.0035482583777512043,7.040313824190707
2017-02-24,EMB48,tarde,0.974238595701266,0.08025179795296486,1.0,1.0,15,3,1658,SWIR1,1301,1800,irrigado,1.4904044380444406,0.0039501245795834075,0.0039501245795834075,7.002604863660102
2017-02-24,EMB48,tarde,0.974238595701266,0.08025179795296486,1.0,1.0,15,4,1452,SWIR1,1301,1800,nao_irrigado,1.4918807680393618,-0.003925347453700132,0.003925347453700132,6.981256644446123
2017-02-24,EMB48,tarde,0.974238595701266,0.08025179795296486,1.0,1.0,15,5,1657,SWIR1,1301,1800,irrigado,1.4539082074056853,0.004105663522156558,0.004105663522156558,6.958982363978951
2017-02-25,BR16,manha,0.9861014043454539,0.05894615266187024,1.0,1.0,15,1,928,NIR,700,1300,nao_irrigado,1.4785086780205108,-0.005125328566943966,0.005125328566943966,8.29958121573861
2017-02-25,BR16,manha,0.9861014043454539,0.05894615266187024,1.0,1.0,15,2,929,NIR,700,1300,nao_irrigado,1.4762778283964038,-0.004690788630011735,0.004690788630011735,7.778578718781031
2017-02-25,BR16,manha,0.9861014043454539,0.05894615266187024,1.0,1.0,15,3,1086,NIR,700,1300,irrigado,1.2362893534945971,0.005952982496682672,0.005952982496682672,7.5282059330363635
2017-02-25,BR16,manha,0.9861014043454539,0.05894615266187024,1.0,1.0,15,4,1085,NIR,700,1300,irrigado,1.226150121945405,0.005619112721851817,0.005619112721851817,7.067614219463424
