sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,y_true,y_pred
B3_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.8310611132724942
B3_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.8758148583593053
B3_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,1.0292247599645052
B3_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.9583358912213186
B3_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,1.0347192054227503
B3_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.7133631523236443
B3_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.7034912593741702
B3_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.7066741644743445
B3_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.612002650536094
B3_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.4661559653288585
B3_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.32947317085813466
B3_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.3408609085854108
B3_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.39171053803735
B3_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.8317190475296978
B3_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.893659119307417
B3_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.9090972715212502
B3_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.9184022150211981
B3_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.8684967183528505
B3_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.8380311826908772
B3_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.9817235693538384
B3_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.814339983632048
B3_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.3245147983384131
B3_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.38311126891875275
B3_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.38259659092468423
B3_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.3562051300397714
B3_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.6543405588114399
B3_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.6019023925456144
B3_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.7125474874633685
B3_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.6098308715466463
B3_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.6977181963712978
B3_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.710670724751078
B3_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.6466187276139892
B3_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.7777354896071853
B3_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.8122148239517655
B3_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.865458414292074
B3_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.7751263066511921
