row_number,nomenclaura,bloco_normalizado,genotipo_normalizado,condicao_normalizada,data_coleta_raw,data_coleta_iso,turno
242,B2_BR16_IRRIG_REPROD00000.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
243,B2_BR16_IRRIG_REPROD00001.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
244,B2_BR16_IRRIG_REPROD00002.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
245,B2_BR16_IRRIG_REPROD00003.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
246,B2_BR16_IRRIG_REPROD00004.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
247,B2_BR16_IRRIG_REPROD00005.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
248,B2_BR16_IRRIG_REPROD00006.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
249,B2_BR16_IRRIG_REPROD00007.asd,B2,BR16,irrigado,20170223,2017-02-23,tarde
250,B2_BR16_NIRRIG_REPROD00000.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,tarde
251,B2_BR16_NIRRIG_REPROD00001.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,tarde
252,B2_BR16_NIRRIG_REPROD00002.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,tarde
253,B2_BR16_NIRRIG_REPROD00003.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,tarde
254,B2_BR16_NIRRIG_REPROD00004.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,tarde
255,B2_BR16_NIRRIG_REPROD00005.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,tarde
256,B2_BR16_NIRRIG_REPROD00006.asd,B2,BR16,nao_irrigado,20170223,2017-02-23,tarde
