dia,banda,comprimento_onda_nm,status,ranking
dia2,band_496,496,Rejeitado,536
dia2,band_497,497,Rejeitado,785
dia2,band_498,498,Rejeitado,1171
dia2,band_499,499,Rejeitado,1171
dia2,band_500,500,Rejeitado,1394
dia2,band_501,501,Rejeitado,632
dia2,band_502,502,Rejeitado,785
dia2,band_503,503,Rejeitado,1669
dia2,band_504,504,Rejeitado,1669
dia2,band_505,505,Rejeitado,1669
dia2,band_506,506,Rejeitado,1171
dia2,band_507,507,Rejeitado,1669
dia2,band_508,508,Rejeitado,632
dia2,band_509,509,Rejeitado,1669
dia2,band_510,510,Rejeitado,1669
dia2,band_511,511,Rejeitado,1669
dia2,band_512,512,Rejeitado,1669
dia2,band_513,513,Rejeitado,1669
dia2,band_514,514,Rejeitado,785
dia2,band_515,515,Rejeitado,1669
dia2,band_516,516,Rejeitado,536
dia2,band_517,517,Rejeitado,1669
dia2,band_518,518,Rejeitado,1171
dia2,band_519,519,Rejeitado,1171
dia2,band_520,520,Rejeitado,1171
dia2,band_521,521,Rejeitado,435
dia2,band_522,522,Rejeitado,935
dia2,band_523,523,Rejeitado,471
dia2,band_524,524,Rejeitado,536
dia2,band_525,525,Rejeitado,536
dia2,band_526,526,Rejeitado,935
dia2,band_527,527,Rejeitado,1669
dia2,band_528,528,Rejeitado,935
dia2,band_529,529,Rejeitado,785
dia2,band_530,530,Rejeitado,1394
dia2,band_531,531,Rejeitado,1669
dia2,band_532,532,Rejeitado,1171
dia2,band_533,533,Rejeitado,1669
dia2,band_534,534,Rejeitado,1171
dia2,band_535,535,Rejeitado,785
dia2,band_536,536,Rejeitado,785
dia2,band_537,537,Rejeitado,1669
dia2,band_538,538,Rejeitado,1669
dia2,band_539,539,Rejeitado,785
dia2,band_540,540,Rejeitado,632
dia2,band_541,541,Rejeitado,1171
dia2,band_542,542,Rejeitado,785
dia2,band_543,543,Rejeitado,437
dia2,band_544,544,Rejeitado,1171
dia2,band_545,545,Rejeitado,1669
dia2,band_546,546,Rejeitado,1669
dia2,band_547,547,Rejeitado,1394
dia2,band_548,548,Rejeitado,1171
dia2,band_549,549,Rejeitado,1171
dia2,band_550,550,Rejeitado,1669
dia2,band_551,551,Rejeitado,1669
dia2,band_552,552,Rejeitado,391
dia2,band_553,553,Rejeitado,536
dia2,band_554,554,Rejeitado,1669
dia2,band_555,555,Rejeitado,1669
dia2,band_556,556,Rejeitado,1171
dia2,band_557,557,Rejeitado,632
dia2,band_558,558,Rejeitado,1669
dia2,band_559,559,Rejeitado,1171
dia2,band_560,560,Rejeitado,1171
dia2,band_561,561,Rejeitado,1394
dia2,band_562,562,Rejeitado,536
dia2,band_563,563,Rejeitado,1394
dia2,band_564,564,Rejeitado,1171
dia2,band_565,565,Rejeitado,1669
dia2,band_566,566,Rejeitado,1669
dia2,band_567,567,Rejeitado,672
dia2,band_568,568,Rejeitado,935
dia2,band_569,569,Rejeitado,1669
dia2,band_570,570,Rejeitado,1171
dia2,band_571,571,Rejeitado,1394
dia2,band_572,572,Rejeitado,1669
dia2,band_573,573,Rejeitado,1171
dia2,band_574,574,Rejeitado,1669
dia2,band_575,575,Rejeitado,1171
dia2,band_576,576,Rejeitado,1669
dia2,band_577,577,Rejeitado,785
dia2,band_578,578,Rejeitado,1394
dia2,band_579,579,Rejeitado,1669
dia2,band_580,580,Rejeitado,536
dia2,band_581,581,Rejeitado,1394
dia2,band_582,582,Rejeitado,785
dia2,band_583,583,Rejeitado,785
dia2,band_584,584,Rejeitado,1669
dia2,band_585,585,Rejeitado,1669
dia2,band_586,586,Rejeitado,1669
dia2,band_587,587,Rejeitado,1669
dia2,band_588,588,Rejeitado,1669
dia2,band_589,589,Rejeitado,1394
dia2,band_590,590,Rejeitado,1669
dia2,band_591,591,Rejeitado,1669
dia2,band_592,592,Rejeitado,1171
dia2,band_593,593,Rejeitado,935
dia2,band_594,594,Rejeitado,1669
dia2,band_595,595,Rejeitado,1669
dia2,band_596,596,Rejeitado,536
dia2,band_597,597,Rejeitado,1669
dia2,band_598,598,Rejeitado,1669
dia2,band_599,599,Rejeitado,1669
dia2,band_600,600,Rejeitado,1669
dia2,band_601,601,Rejeitado,1171
dia2,band_602,602,Rejeitado,1669
dia2,band_603,603,Rejeitado,1669
dia2,band_604,604,Rejeitado,1669
dia2,band_605,605,Rejeitado,1171
dia2,band_606,606,Rejeitado,672
dia2,band_607,607,Rejeitado,1669
dia2,band_608,608,Rejeitado,785
dia2,band_609,609,Rejeitado,1669
dia2,band_610,610,Rejeitado,785
dia2,band_611,611,Rejeitado,1669
dia2,band_612,612,Rejeitado,1669
dia2,band_613,613,Rejeitado,785
dia2,band_614,614,Rejeitado,257
