condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
IRR,band_1538,1538,0.3151764298396427,0.015245565967557145,72
IRR,band_1539,1539,0.3160707176275751,0.01528232432214547,72
IRR,band_1540,1540,0.31695613891719443,0.015318829743251074,72
IRR,band_1541,1541,0.3178313125847757,0.015354963626364078,72
IRR,band_1542,1542,0.31869527314657403,0.015390568747921732,72
IRR,band_1543,1543,0.319549026741471,0.015425590199568007,72
IRR,band_1544,1544,0.32039210767771586,0.015459898716014709,72
IRR,band_1545,1545,0.3212241603288903,0.015493233983458626,72
IRR,band_1546,1546,0.32204410756626967,0.015525964620436131,72
IRR,band_1547,1547,0.3228536796349183,0.015557902121170369,72
IRR,band_1548,1548,0.3236535904271987,0.015589013713627548,72
IRR,band_1549,1549,0.32444325373138144,0.015619925000007988,72
IRR,band_1550,1550,0.3252235736542408,0.015650726694175086,72
IRR,band_1551,1551,0.32599246691996686,0.015681722444122664,72
IRR,band_1552,1552,0.3267486200095168,0.01571312753313953,72
IRR,band_1553,1553,0.3274933068281711,0.015744472258783723,72
IRR,band_1554,1554,0.3282265434358638,0.01577555339840347,72
IRR,band_1555,1555,0.32894873406867425,0.015806037087037025,72
IRR,band_1556,1556,0.32965996844401446,0.01583603287998918,72
IRR,band_1557,1557,0.33036112907285003,0.01586521660686695,72
IRR,band_1558,1558,0.33105225181443454,0.01589369570658415,72
IRR,band_1559,1559,0.33173210489207955,0.015922065490529977,72
IRR,band_1560,1560,0.3324011262696915,0.015950296471124868,72
IRR,band_1561,1561,0.33305918776195476,0.015978499826217258,72
IRR,band_1562,1562,0.33370642504879683,0.016006778509205274,72
IRR,band_1563,1563,0.334344112795007,0.01603534861842327,72
IRR,band_1564,1564,0.3349731370579943,0.01606419783504158,72
IRR,band_1565,1565,0.3355925896378192,0.01609303966052291,72
IRR,band_1566,1566,0.33620315977293874,0.01612193831631119,72
IRR,band_1567,1567,0.3368058783752249,0.016149988321072062,72
IRR,band_1568,1568,0.337400506313304,0.016176976172239513,72
IRR,band_1569,1569,0.33798664229168984,0.01620371066879074,72
IRR,band_1570,1570,0.33856515866430975,0.01623028058790817,72
IRR,band_1571,1571,0.3391350245342815,0.01625680394867057,72
IRR,band_1572,1572,0.3396968708868689,0.016283660016322792,72
IRR,band_1573,1573,0.34025214162906386,0.016310897574458253,72
IRR,band_1574,1574,0.3408008878614022,0.016338224498083913,72
