feature,tipo,feature_legenda,dia,condicao,media,desvio_padrao,n
band_393,banda,393 nm,dia2,IRR,0.07735946070390794,0.003207098215965857,12
band_393,banda,393 nm,dia3,IRR,0.08747876901261158,0.008693977775591841,12
band_393,banda,393 nm,dia4,IRR,0.10818135165043952,0.015044326624811935,12
band_393,banda,393 nm,dia5,IRR,0.10809029880111391,0.017880931103958303,12
band_393,banda,393 nm,dia6,IRR,0.11310167978240375,0.0073928889511503774,12
band_393,banda,393 nm,dia9,IRR,0.08723832904701041,0.011668687462575735,12
band_393,banda,393 nm,dia2,NIRR,0.07292825664983224,0.0029890793650210285,12
band_393,banda,393 nm,dia3,NIRR,0.0684180313430151,0.002425195847277071,12
band_393,banda,393 nm,dia4,NIRR,0.06886434838849435,0.006559199057518218,12
band_393,banda,393 nm,dia5,NIRR,0.06705027893808747,0.004892865054414819,12
band_393,banda,393 nm,dia6,NIRR,0.0674596843126732,0.003385929467224673,12
band_393,banda,393 nm,dia9,NIRR,0.06493890527728775,0.003992055520841113,12
band_394,banda,394 nm,dia2,IRR,0.07687382331371355,0.003185468294279805,12
band_394,banda,394 nm,dia3,IRR,0.08687531281652755,0.008626663766200636,12
band_394,banda,394 nm,dia4,IRR,0.1074568162505647,0.014839375773416319,12
band_394,banda,394 nm,dia5,IRR,0.10744964438302046,0.017794707099731074,12
band_394,banda,394 nm,dia6,IRR,0.1124078873105463,0.007333164101208879,12
band_394,banda,394 nm,dia9,IRR,0.08678502268570742,0.011693941901644137,12
band_394,banda,394 nm,dia2,NIRR,0.07255662194194627,0.00297763314755022,12
band_394,banda,394 nm,dia3,NIRR,0.06804071502277191,0.002413541603700457,12
band_394,banda,394 nm,dia4,NIRR,0.06854851672760735,0.006491514088447316,12
band_394,banda,394 nm,dia5,NIRR,0.06679817557341751,0.004820285306571,12
band_394,banda,394 nm,dia6,NIRR,0.06707692653435147,0.0034706683636012313,12
band_394,banda,394 nm,dia9,NIRR,0.06475128064683987,0.003798212712058722,12
band_395,banda,395 nm,dia2,IRR,0.07642675990043868,0.0031762890904087453,12
band_395,banda,395 nm,dia3,IRR,0.08633606202989012,0.008606619002992104,12
band_395,banda,395 nm,dia4,IRR,0.10679526702273177,0.014693572568145042,12
