dia,condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
dia2,IRR,band_616,616,0.0576777454153321,0.003934132771854815,12
dia2,IRR,band_617,617,0.05725402265894127,0.003871127806473194,12
dia2,IRR,band_618,618,0.05686927548619283,0.003813404739017406,12
dia2,IRR,band_619,619,0.056525172702691,0.0037610368897769524,12
dia2,IRR,band_620,620,0.0562217983145391,0.0037154398363083586,12
dia2,IRR,band_621,621,0.05595769473553878,0.0036775766202377285,12
dia2,IRR,band_622,622,0.05572990218158932,0.0036443488990698927,12
dia2,IRR,band_623,623,0.055536339180059235,0.003616822268170784,12
dia2,IRR,band_624,624,0.05537505623613603,0.003595513782872644,12
dia2,IRR,band_625,625,0.055242910814585905,0.0035778368118308053,12
dia2,IRR,band_626,626,0.055135153327106744,0.003562957654602165,12
dia2,IRR,band_627,627,0.05504643494173981,0.0035506874227412793,12
dia2,IRR,band_628,628,0.05497048471273453,0.0035407379071192447,12
dia2,IRR,band_629,629,0.05489988387738844,0.003531367056041595,12
dia2,IRR,band_630,630,0.054823962526385585,0.0035218310083218853,12
dia2,IRR,band_631,631,0.05473225575816771,0.003510082981934192,12
dia2,IRR,band_632,632,0.05461543267398631,0.0034922469812793105,12
dia2,IRR,band_633,633,0.05446433297864317,0.0034679891794291455,12
dia2,IRR,band_634,634,0.05427179989560121,0.00343563780698528,12
dia2,IRR,band_635,635,0.05403350186432857,0.0033936230555572286,12
dia2,IRR,band_636,636,0.053748590746183815,0.003343709804172463,12
dia2,IRR,band_637,637,0.05342170184375133,0.003286871901178706,12
dia2,IRR,band_638,638,0.05306064650809892,0.0032245991148783823,12
dia2,IRR,band_639,639,0.05267437493222745,0.003158664739074622,12
dia2,IRR,band_640,640,0.052270302930159336,0.0030909929429812173,12
dia2,IRR,band_641,641,0.0518603203506085,0.003022334392838181,12
dia2,IRR,band_642,642,0.05145536922871139,0.0029537354694067256,12
dia2,IRR,band_643,643,0.05106286523829815,0.0028871269091896917,12
dia2,IRR,band_644,644,0.050689442685657234,0.0028253346840944214,12
dia2,IRR,band_645,645,0.050340899109158704,0.0027686297257882775,12
dia2,IRR,band_646,646,0.05002261562739823,0.002717211176419585,12
dia2,IRR,band_647,647,0.04974028555891785,0.002672198699538266,12
dia2,IRR,band_648,648,0.04949460258859891,0.002633752973094645,12
dia2,IRR,band_649,649,0.049285358554871546,0.002601653680268262,12
dia2,IRR,band_650,650,0.04911048844165996,0.0025751915431991533,12
dia2,IRR,band_651,651,0.048965177931809885,0.0025538246496325397,12
dia2,IRR,band_652,652,0.04884149690654844,0.0025355450309172086,12
dia2,IRR,band_653,653,0.04872991959750605,0.0025189136480387284,12
dia2,IRR,band_654,654,0.04862200361187865,0.002503341217127313,12
dia2,IRR,band_655,655,0.048511891388324575,0.002487414788221708,12
dia2,IRR,band_656,656,0.04839732520350443,0.0024703321797845674,12
dia2,IRR,band_657,657,0.04827868788812084,0.0024524690679551832,12
dia2,IRR,band_658,658,0.04815665451014767,0.0024332939036834757,12
dia2,IRR,band_659,659,0.04803922780347573,0.0024142117240053946,12
dia2,IRR,band_660,660,0.04793296247816661,0.0023969290909409907,12
dia2,IRR,band_661,661,0.04784142795626026,0.002382672225314921,12
dia2,IRR,band_662,662,0.04777248982333033,0.002370584284630849,12
dia2,IRR,band_663,663,0.047730196091023906,0.002360398528897756,12
dia2,IRR,band_664,664,0.04771732087948969,0.002353121011544651,12
dia2,IRR,band_665,665,0.04773690404765409,0.0023501907293800002,12
dia2,IRR,band_666,666,0.04779161680696765,0.002351083062976816,12
dia2,IRR,band_667,667,0.04788025214847396,0.0023541693513245295,12
dia2,IRR,band_668,668,0.04800057839998529,0.0023587776293758377,12
dia2,IRR,band_669,669,0.048154024497974866,0.002367052384453636,12
dia2,IRR,band_670,670,0.04833781737963477,0.002377376591565994,12
dia2,IRR,band_671,671,0.04854975392767199,0.0023893084874783855,12
dia2,IRR,band_672,672,0.04879066860948611,0.0024033701678056536,12
dia2,IRR,band_673,673,0.04905971189818042,0.002417957052040474,12
dia2,IRR,band_674,674,0.04935765040670539,0.0024336469306493838,12
dia2,IRR,band_675,675,0.049686079942051535,0.0024513240536740057,12
dia2,IRR,band_676,676,0.05004556425232273,0.0024702651552789097,12
dia2,IRR,band_677,677,0.05043497850184172,0.0024912178803891587,12
dia2,IRR,band_678,678,0.05085302173249758,0.002514444457559083,12
dia2,IRR,band_679,679,0.05129844803379042,0.002540001793583809,12
dia2,IRR,band_680,680,0.05176689994779957,0.002565513702646828,12
dia2,IRR,band_681,681,0.052256036106535085,0.002593485863305756,12
dia2,IRR,band_682,682,0.05276518409449393,0.002624977514734494,12
dia2,IRR,band_683,683,0.05329625924827608,0.0026579977055834012,12
dia2,IRR,band_684,684,0.053852918927855854,0.0026938181143667155,12
dia2,IRR,band_685,685,0.05444879511225063,0.002736164344045232,12
dia2,IRR,band_686,686,0.055110380716017066,0.002790748284121181,12
