dia,comprimento_onda_nm,ratio_media,ratio_std,n_pares
dia3,1924,1.2125574838377007,0.2074447092409843,12
dia3,1925,1.2137755640172692,0.2075097235475502,12
dia3,1926,1.2149822541661237,0.20755770913104515,12
dia3,1927,1.2161833130501922,0.20759754488325197,12
dia3,1928,1.2173727346287369,0.20763435706862096,12
dia3,1929,1.218541585135892,0.2076634052993512,12
dia3,1930,1.2196884859743367,0.20767844928630158,12
dia3,1931,1.2208088143495008,0.2076730440749222,12
dia3,1932,1.221888719286891,0.20762282536298388,12
dia3,1933,1.2229321842359835,0.2075341040797251,12
dia3,1934,1.2239434605076946,0.20741475710300428,12
dia3,1935,1.2249125271362185,0.20725555182242658,12
dia3,1936,1.2258440967441513,0.20707410162859194,12
dia3,1937,1.2267347681428582,0.2068752898903299,12
dia3,1938,1.227579889760241,0.20665591795283753,12
dia3,1939,1.2283713750047436,0.20640328198830338,12
dia3,1940,1.229121502693452,0.20613041369939028,12
dia3,1941,1.2298251232818076,0.20582500975803705,12
dia3,1942,1.230481601648729,0.2054785499422782,12
dia3,1943,1.2310991147473762,0.20510655891329968,12
dia3,1944,1.2316657048344344,0.20469899306602285,12
dia3,1945,1.2321746996007639,0.2042489010981087,12
dia3,1946,1.23263879928843,0.20378645778083454,12
dia3,1947,1.233059774079257,0.20331332369571026,12
dia3,1948,1.23344431204104,0.20283129723208104,12
dia3,1949,1.233800134426697,0.2023367345398352,12
dia3,1950,1.2341375111840778,0.20184237490336948,12
dia3,1951,1.2344483610867003,0.20133266715925796,12
dia3,1952,1.2347282355562057,0.2007906339468905,12
dia3,1953,1.234973504680934,0.20022190604618859,12
dia3,1954,1.2351708604389366,0.19962498199859185,12
dia3,1955,1.2353186924612045,0.1989949301749183,12
dia3,1956,1.235418462403682,0.19834677749438748,12
dia3,1957,1.2354709272267073,0.19768013659273226,12
dia3,1958,1.235481065467867,0.19700167224404405,12
dia3,1959,1.2354591001323534,0.1963058633770085,12
dia3,1960,1.2354087387212782,0.19559604514964915,12
dia3,1961,1.2353315942125203,0.19486423959645666,12
dia3,1962,1.2352330943929828,0.19410558705122893,12
dia3,1963,1.235114483662839,0.19333083333667847,12
dia3,1964,1.2349764080917043,0.19254811411225992,12
dia3,1965,1.2348157211351583,0.19175676958779037,12
dia3,1966,1.2346262054747366,0.19095354237879683,12
dia3,1967,1.2344135453286629,0.19013892721438166,12
dia3,1968,1.234176285729444,0.18931367674580304,12
dia3,1969,1.2339128893435014,0.18847336613498872,12
dia3,1970,1.2336237720367995,0.18761985071657172,12
dia3,1971,1.2333130550504559,0.18675761029962012,12
dia3,1972,1.2329708884970023,0.18588197601693593,12
dia3,1973,1.2326041756833648,0.18499812906922952,12
dia3,1974,1.2322182874801093,0.1841097614679426,12
dia3,1975,1.2318034049048068,0.1832081312958822,12
dia3,1976,1.2313694781879825,0.18229561965746308,12
dia3,1977,1.2309268144149181,0.181378320172774,12
dia3,1978,1.2304692617009831,0.180456504463549,12
dia3,1979,1.2299935036346135,0.17952883546775947,12
dia3,1980,1.2295087490144085,0.17860270333017247,12
dia3,1981,1.2290096957375987,0.1776805726548522,12
dia3,1982,1.228483545523214,0.17674926944439917,12
dia3,1983,1.2279370246074715,0.17580892040665116,12
dia3,1984,1.2273748480889248,0.17486000461054632,12
dia3,1985,1.2267959587282842,0.1738994963370934,12
dia3,1986,1.2262038724287574,0.17293799926287332,12
dia3,1987,1.2256021674774262,0.17197846878145312,12
dia3,1988,1.2249889117613277,0.17102195584967844,12
dia3,1989,1.224366705938468,0.1700668130396964,12
dia3,1990,1.2237375466041553,0.16911601218382794,12
dia3,1991,1.2230987691249193,0.1681693537194732,12
dia3,1992,1.2224462389867001,0.16721661832868961,12
dia3,1993,1.2217742671545537,0.166260800907576,12
dia3,1994,1.2210825042304878,0.1653086573632142,12
dia3,1995,1.2203726554938366,0.16435441155658778,12
dia3,1996,1.219645823176055,0.16340016230880336,12
dia3,1997,1.2189055380642932,0.1624469105178633,12
dia3,1998,1.2181519585297969,0.16149403835185266,12
dia3,1999,1.217387884992613,0.16053924824103816,12
dia3,2000,1.2166178039485263,0.15959169507208634,12
dia3,2001,1.2158460257291333,0.15865427719595707,12
dia3,2002,1.2150711298583843,0.15772618726415766,12
dia3,2003,1.2142919819367728,0.15681348793326053,12
dia3,2004,1.2135065059769143,0.15591242034227384,12
dia3,2005,1.2127167314752205,0.15501386931338637,12
dia3,2006,1.2119244150570818,0.1541176008226434,12
dia3,2007,1.2111243666174933,0.1532179130449342,12
dia3,2008,1.2103187735010221,0.15231428741986486,12
dia3,2009,1.2095127275541824,0.15141330585506246,12
dia3,2010,1.2087082573813945,0.15052343010212962,12
dia3,2011,1.207902756037379,0.14964141038243287,12
dia3,2012,1.2070984511935807,0.14876968799123402,12
dia3,2013,1.206296607776015,0.14790877739166663,12
dia3,2014,1.2054882539989327,0.14705333370383178,12
dia3,2015,1.2046735419550372,0.14620078041499038,12
dia3,2016,1.2038587711047348,0.14535359992892788,12
dia3,2017,1.2030445134171797,0.1445124165776596,12
dia3,2018,1.2022306714792548,0.14367900880745932,12
dia3,2019,1.2014166983604826,0.14285615880173294,12
dia3,2020,1.2005990165717007,0.14204092228054918,12
dia3,2021,1.1997750842096138,0.14123072764105607,12
dia3,2022,1.19895073383512,0.14042406239895527,12
dia3,2023,1.1981257220663317,0.139619531966011,12
dia3,2024,1.197300386490496,0.1388168284390139,12
dia3,2025,1.1964768795520673,0.13801565092095833,12
dia3,2026,1.1956611077207004,0.13722401055066422,12
dia3,2027,1.1948543775111644,0.1364450335018148,12
dia3,2028,1.1940519019793732,0.1356751846615236,12
dia3,2029,1.1932541941724553,0.13491711414484545,12
dia3,2030,1.1924603363439672,0.13416941790662568,12
dia3,2031,1.1916655948862311,0.13342943976378147,12
dia3,2032,1.1908725788275623,0.13269409272544339,12
dia3,2033,1.190080871440845,0.13196458726574367,12
dia3,2034,1.189291542823369,0.13124169374460168,12
dia3,2035,1.1885033054579008,0.13052832018445112,12
dia3,2036,1.1877186110298292,0.12982828720151754,12
dia3,2037,1.1869423005973723,0.12913960583700104,12
dia3,2038,1.1861739808602634,0.12846211102548405,12
dia3,2039,1.1854133191444958,0.12779532459113307,12
dia3,2040,1.1846622830785223,0.12713656404882945,12
dia3,2041,1.1839159989294963,0.12648556628525287,12
dia3,2042,1.183174343426593,0.1258405904433222,12
dia3,2043,1.1824386549569794,0.12520246415554503,12
dia3,2044,1.1817072454456028,0.12456887113175458,12
dia3,2045,1.180978288750154,0.12394165221517113,12
dia3,2046,1.180255707137491,0.12332006386959594,12
dia3,2047,1.1795429847365384,0.12270245698439215,12
dia3,2048,1.1788342991074847,0.12209347678215021,12
dia3,2049,1.1781292582318879,0.12149267775923919,12
dia3,2050,1.177432140935614,0.1208980918116565,12
dia3,2051,1.1767374325714308,0.12031326185369237,12
dia3,2052,1.1760447152072395,0.11973630596156898,12
dia3,2053,1.1753570973851015,0.11916551440964117,12
dia3,2054,1.1746762513209426,0.118603156830515,12
dia3,2055,1.1740013959698536,0.11804729267206908,12
dia3,2056,1.173336067018833,0.11749806471017167,12
dia3,2057,1.1726755289406798,0.11695420821240893,12
dia3,2058,1.1720166336370037,0.11641819391100088,12
dia3,2059,1.1713601341660924,0.11589082339201763,12
dia3,2060,1.1707037321953557,0.11536884561502339,12
dia3,2061,1.1700465027700804,0.11485753810677743,12
dia3,2062,1.1693903075283494,0.1143548858074346,12
dia3,2063,1.1687361339860283,0.11385779360861871,12
dia3,2064,1.168089321886501,0.11337186239299764,12
dia3,2065,1.1674482124001673,0.11289224422595875,12
dia3,2066,1.1668081772765884,0.11241685589622558,12
dia3,2067,1.1661676073660259,0.11194332206497393,12
dia3,2068,1.1655258297121558,0.1114707497934321,12
dia3,2069,1.1648808436116582,0.1109993764187429,12
dia3,2070,1.1642403364459362,0.1105321884575553,12
dia3,2071,1.1636095494622143,0.11007227701998101,12
dia3,2072,1.1629870851402322,0.10961610406263589,12
dia3,2073,1.1623715191026638,0.10916046379968436,12
dia3,2074,1.1617658830362252,0.10871041901849544,12
dia3,2075,1.1611633556019159,0.10826619445454168,12
dia3,2076,1.1605602577707297,0.1078253787018091,12
dia3,2077,1.159961030544558,0.10739207394883706,12
dia3,2078,1.1593632998297962,0.10696403424979989,12
dia3,2079,1.1587701584134285,0.10653690736293826,12
dia3,2080,1.1581889018763052,0.10611262601196367,12
dia3,2081,1.157613593435264,0.10569066464981143,12
