subset_type,subset_name,subset_label,rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
turno_genotipo,manha_EMB48,manha / EMB48,19,1633,irrigado,1.1740773420,0.0141008089,0.0141008089,4.9653352480
turno_genotipo,manha_EMB48,manha / EMB48,20,971,irrigado,1.4161478786,0.0094239087,0.0094239087,4.9013155407
turno_genotipo,tarde_BR16,tarde / BR16,1,1668,irrigado,1.6873013429,0.0141852674,0.0141852674,7.8054286615
turno_genotipo,tarde_BR16,tarde / BR16,2,807,irrigado,1.2831222448,0.0192384237,0.0192384237,7.5054263842
turno_genotipo,tarde_BR16,tarde / BR16,3,2271,nao_irrigado,1.6525399379,-0.0137974865,0.0137974865,7.4780686837
turno_genotipo,tarde_BR16,tarde / BR16,4,1669,irrigado,1.5619674642,0.0149048848,0.0149048848,7.4016873805
turno_genotipo,tarde_BR16,tarde / BR16,5,2282,nao_irrigado,1.8581667814,-0.0105974433,0.0105974433,7.3999584663
turno_genotipo,tarde_BR16,tarde / BR16,6,1667,irrigado,1.7531440793,0.0120806352,0.0120806352,7.3844049482
turno_genotipo,tarde_BR16,tarde / BR16,7,2272,nao_irrigado,1.6305929103,-0.0137204043,0.0137204043,7.3328976568
turno_genotipo,tarde_BR16,tarde / BR16,8,2276,nao_irrigado,1.7508226592,-0.0118415313,0.0118415313,7.2843621616
turno_genotipo,tarde_BR16,tarde / BR16,9,995,irrigado,1.2814696960,0.0186508392,0.0186508392,7.2811618143
turno_genotipo,tarde_BR16,tarde / BR16,10,2275,nao_irrigado,1.7017461228,-0.0123426980,0.0123426980,7.2067184872
turno_genotipo,tarde_BR16,tarde / BR16,11,2270,nao_irrigado,1.6583840475,-0.0128068475,0.0128068475,7.1459402798
turno_genotipo,tarde_BR16,tarde / BR16,12,2273,nao_irrigado,1.6242471742,-0.0130339007,0.0130339007,7.0473610549
turno_genotipo,tarde_BR16,tarde / BR16,13,2274,nao_irrigado,1.6547056973,-0.0125743283,0.0125743283,7.0410840299
turno_genotipo,tarde_BR16,tarde / BR16,14,2277,nao_irrigado,1.7741457155,-0.0105625635,0.0105625635,6.9396116719
turno_genotipo,tarde_BR16,tarde / BR16,15,808,irrigado,1.2596103070,0.0175943566,0.0175943566,6.7773203754
turno_genotipo,tarde_BR16,tarde / BR16,16,1666,irrigado,1.7487083115,0.0104869638,0.0104869638,6.7763920139
