target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao,10,5,mixup,XGBoost,2,0.9205882352941177,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,10,5,mixup,XGBoost,3,0.9182644110275688,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,10,5,mixup,XGBoost,4,0.9115459153249851,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,15,5,baseline,Random Forest,1,0.9177769318614389,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,108,36
condicao,15,5,baseline,Random Forest,2,0.9301937831988983,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,108,36
condicao,15,5,baseline,Random Forest,3,0.8984433583331318,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,15,5,baseline,Random Forest,4,0.8834520637337538,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,15,5,baseline,SVM (RBF),1,0.908932552954292,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,15,5,baseline,SVM (RBF),2,0.9897221164826799,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,15,5,baseline,SVM (RBF),3,0.9282329988851727,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,15,5,baseline,SVM (RBF),4,0.9221013651409984,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,15,5,baseline,LDA,1,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
condicao,15,5,baseline,LDA,2,0.8614481409001956,"{""model__shrinkage"": ""auto""}",108,108,36
condicao,15,5,baseline,LDA,3,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
