genotype,date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
CD202,2017-02-24,24/02/2017,12,2,nao_irrigado,1923,64,64,0.0758775145169523,0.07126896459226319,0.015383249013950806,0.010174858423098234,0.0046085499246891065,0.0046085499246891065,6.073670116934945,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
CD202,2017-02-24,24/02/2017,13,3,nao_irrigado,2279,64,64,0.24572928856182205,0.23569139907168868,0.025720283673756658,0.01804524007622948,0.010037889490133373,0.010037889490133373,4.084938164629073,1.6992624471,-1.5671708898,3.244282072e-180,7.9432984786
CD202,2017-02-24,24/02/2017,14,4,nao_irrigado,2280,64,64,0.2452652254583373,0.23521219067326632,0.025739406831860157,0.0180731234641942,0.010053034785070969,0.010053034785070969,4.098842290538516,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
CD202,2017-02-24,24/02/2017,15,5,nao_irrigado,1427,64,64,0.23010889593554432,0.22541975820904606,0.02763151647879168,0.01996742102431715,0.00468913772649826,0.00468913772649826,2.0377907196650633,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
CD202,2017-02-24,24/02/2017,16,6,nao_irrigado,1428,64,64,0.2297063507174407,0.22504520571181463,0.027683197644108697,0.019971230439829755,0.004661145005626061,0.004661145005626061,2.029175506496851,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
CD202,2017-02-24,24/02/2017,17,7,nao_irrigado,1426,64,64,0.2305770002091094,0.22586670129240385,0.027576530715698874,0.019960281718679827,0.0047102989167055465,0.0047102989167055465,2.0428312071168393,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
CD202,2017-02-24,24/02/2017,18,8,nao_irrigado,1429,64,64,0.22937674391444632,0.22475522213440027,0.02773631095467571,0.0199833824392334,0.004621521780046045,0.004621521780046045,2.0148170652251456,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
CD202,2017-02-24,24/02/2017,19,9,nao_irrigado,1430,64,64,0.22910577058658765,0.22452864500240466,0.02779277800363914,0.019996009688241816,0.004577125584182995,0.004577125584182995,1.9978220419608017,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
CD202,2017-02-24,24/02/2017,20,10,nao_irrigado,1425,64,64,0.23111596023757172,0.2263843085566634,0.027521903010418486,0.019947684906978038,0.004731651680908333,0.004731651680908333,2.0473063288422453,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
CD202,2017-03-02,02/03/2017,1,1,irrigado,1660,68,64,0.38908874284418227,0.39297514837048586,0.031204203075718088,0.01211732178191367,-0.0038864055263035935,0.0038864055263035935,-0.9988481028504019,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
CD202,2017-03-02,02/03/2017,2,2,irrigado,1659,68,64,0.38905873755485854,0.39293453413879365,0.03122063844311876,0.012118168725892125,-0.0038757965839351094,0.0038757965839351094,-0.9961983139855867,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
CD202,2017-03-02,02/03/2017,3,3,irrigado,1654,68,64,0.3887827413512085,0.3925863492895766,0.031278202976780016,0.01212256843996921,-0.003803607938368092,0.003803607938368092,-0.9783376507786098,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
CD202,2017-03-02,02/03/2017,4,4,irrigado,1661,68,64,0.3890970805105951,0.3930042837001629,0.031198217593918404,0.012134962486751045,-0.003907203189567776,0.003907203189567776,-1.0041718083416415,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
CD202,2017-03-02,02/03/2017,5,5,irrigado,1655,68,64,0.3888349853307807,0.39268188053450753,0.03127881653512649,0.012156133690460721,-0.00384689520372683,0.00384689520372683,-0.9893387552188206,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
CD202,2017-03-02,02/03/2017,6,6,irrigado,1658,68,64,0.3890009430215909,0.3929029366597995,0.031243284127759736,0.012143590847895786,-0.0039019936382085896,0.0039019936382085896,-1.0030807657944458,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
CD202,2017-03-02,02/03/2017,7,7,irrigado,1653,68,64,0.38870009825855534,0.3924692406556371,0.0312930797802412,0.012123946301403201,-0.0037691423970817595,0.0037691423970817595,-0.9696787867994321,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
CD202,2017-03-02,02/03/2017,8,8,irrigado,1656,68,64,0.38889654092466935,0.39276791953078993,0.031265386217069806,0.012160355892697663,-0.003871378606120579,0.003871378606120579,-0.9954777681785755,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
