date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
2017-02-24,24/02/2017,11,1,nao_irrigado,1924,192,192,0.08248025290447046,0.07789486084200342,0.015916908140242804,0.012212301900359374,0.004585392062467039,0.004585392062467039,5.5593816713654975,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
2017-02-24,24/02/2017,12,2,nao_irrigado,1923,192,192,0.08242093277678182,0.07781104283646759,0.015881984581964995,0.012202304781261844,0.004609889940314235,0.004609889940314235,5.593105762099373,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
2017-02-24,24/02/2017,13,3,nao_irrigado,2279,192,192,0.25295486655547733,0.24522643737122526,0.0254261735580692,0.019059122936180478,0.007728429184252067,0.007728429184252067,3.0552601297975386,1.6992624471,-1.5671708898,3.244282072e-180,7.9432984786
2017-02-24,24/02/2017,14,4,nao_irrigado,2280,192,192,0.2524845630638551,0.24474440546492857,0.025424568436002205,0.01907656820192693,0.007740157598926517,0.007740157598926517,3.065596369536849,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
2017-02-24,24/02/2017,15,5,nao_irrigado,1427,192,192,0.24191192249205531,0.2384449719353823,0.028751914864364667,0.020833102568188232,0.0034669505566730097,0.0034669505566730097,1.4331457999085881,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
2017-02-24,24/02/2017,16,6,nao_irrigado,1428,192,192,0.24147760589618003,0.23804698013418515,0.028788163976443584,0.020846074645476324,0.0034306257619948766,0.0034306257619948766,1.4206807083675606,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
2017-02-24,24/02/2017,17,7,nao_irrigado,1426,192,192,0.24241537568894198,0.23891992169507673,0.02871936875269049,0.020821525759882997,0.0034954539938652496,0.0034954539938652496,1.4419275113763743,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
2017-02-24,24/02/2017,18,8,nao_irrigado,1429,192,192,0.2411201582048791,0.23772908344866775,0.028826277812289632,0.020862538671191234,0.0033910747562113375,0.0033910747562113375,1.4063837637871617,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
2017-02-24,24/02/2017,19,9,nao_irrigado,1430,192,192,0.24082333637225103,0.23747279783962283,0.028869592956566603,0.02088036424190215,0.0033505385326282056,0.0033505385326282056,1.3912848244279505,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
2017-02-24,24/02/2017,20,10,nao_irrigado,1425,192,192,0.24298801863726185,0.23946837181695632,0.028690171862535994,0.020808781817012154,0.003519646820305533,0.003519646820305533,1.4484857484103952,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
2017-03-02,02/03/2017,1,1,irrigado,1660,196,192,0.38514736706725183,0.392638374136675,0.02670906214729,0.012431327832730469,-0.007491007069423183,0.007491007069423183,-1.9449716420144072,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
2017-03-02,02/03/2017,2,2,irrigado,1659,196,192,0.3851234924075345,0.3926040771352502,0.026721327541681106,0.01243381755218503,-0.007480584727715678,0.007480584727715678,-1.942385981429506,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
2017-03-02,02/03/2017,3,3,irrigado,1654,196,192,0.3848702350138426,0.39228053954818365,0.026775722635696216,0.01243395351471527,-0.00741030453434105,0.00741030453434105,-1.9254033853967751,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
2017-03-02,02/03/2017,4,4,irrigado,1661,196,192,0.38515329254113584,0.39265841448508004,0.02670568168945811,0.012432944029244629,-0.007505121943944204,0.007505121943944204,-1.9486064611904177,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
2017-03-02,02/03/2017,5,5,irrigado,1655,196,192,0.3849230194410267,0.39235791753320554,0.02677105586712304,0.012450495967221607,-0.007434898092178843,0.007434898092178843,-1.9315285697840499,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
2017-03-02,02/03/2017,6,6,irrigado,1658,196,192,0.3850778075578485,0.3925714122527087,0.026737259114360534,0.01244287721868061,-0.007493604694860212,0.007493604694860212,-1.9459975484914127,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
2017-03-02,02/03/2017,7,7,irrigado,1653,196,192,0.38479468257383526,0.39217453722332024,0.026783963865506213,0.012432863564266495,-0.007379854649484985,0.007379854649484985,-1.9178681472732988,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
