data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH
D05M,MANHA,gen_cond,3,1600.0,4.6812818220220584e-20,2.5467663174979424e-19
D05M,MANHA,gen_cond,4,540.0,1.2609293508276834e-18,6.157538329875187e-18
D05M,MANHA,gen_cond,5,1719.0,4.81722553445016e-16,1.2634436791761227e-15
D05M,MANHA,cond,1,400.0,3.963761694857789e-24,1.94164811026957e-22
D05M,MANHA,cond,2,1536.0,3.2432956907610806e-21,4.210126241614542e-20
D05M,MANHA,cond,3,1600.0,2.3965453696610865e-17,1.3615829787188056e-16
D05M,MANHA,cond,4,739.0,8.005377745871075e-13,2.845585746409285e-12
D05M,MANHA,cond,5,540.0,1.0650517195007215e-11,3.45636246312655e-11
D05M,MANHA,gen,1,706.0,4.0441481755538875e-17,2.0916263692417802e-14
D05M,MANHA,gen,2,1726.0,4.1406600523268254e-15,2.993617599990181e-13
D05M,MANHA,gen,3,956.0,4.4490057769620155e-13,7.622351894322498e-12
D05M,MANHA,gen,4,553.0,6.875952766758512e-11,3.0393489492719197e-10
D05M,MANHA,gen,5,1386.0,7.698052650733927e-11,3.310001255064001e-10
D06M,MANHA,gen_cond,1,401.0,9.595842669736958e-30,1.3106927168707852e-28
D06M,MANHA,gen_cond,2,1526.0,5.525642733981947e-29,4.4443502930968525e-28
D06M,MANHA,gen_cond,3,540.0,4.7837810739802245e-27,2.7178767265189584e-26
D06M,MANHA,gen_cond,4,1600.0,1.6291720042965754e-21,5.358865411126331e-21
D06M,MANHA,gen_cond,5,1900.0,1.1806009231308106e-14,2.211335610357345e-14
D06M,MANHA,cond,1,400.0,5.172735611129154e-33,7.549372294188427e-32
D06M,MANHA,cond,2,1539.0,1.7024852455431665e-30,1.4194297717922904e-29
D06M,MANHA,cond,3,540.0,8.478538838951955e-23,3.179064562831894e-22
D06M,MANHA,cond,4,1939.0,5.265778227203991e-19,1.4323754832885127e-18
D06M,MANHA,cond,5,1620.0,2.4911088593478316e-18,6.362720137636865e-18
D06M,MANHA,gen,1,721.0,5.839945694371465e-21,2.9944321547889685e-18
D06M,MANHA,gen,2,551.0,1.4920562573791132e-09,8.30799279839887e-08
D06M,MANHA,gen,3,1391.0,1.72483567975497e-05,0.000447802275845246
D06M,MANHA,gen,4,1379.0,5.874563191448634e-05,0.0011929434758080346
D06M,MANHA,gen,5,1835.0,5.8596306493607444e-05,0.0011929434758080346
D09M,MANHA,gen_cond,1,400.0,2.2640110649333037e-27,4.643486694178206e-24
D09M,MANHA,gen_cond,2,1521.0,9.718592781466912e-23,1.755938436187981e-21
D09M,MANHA,gen_cond,3,719.0,5.985863091033491e-20,4.910802079883876e-19
D09M,MANHA,gen_cond,4,1959.0,6.858050178703993e-17,2.9182284059174045e-16
D09M,MANHA,gen_cond,5,579.0,4.475612139095848e-16,1.4974682703565389e-15
