wavelength_nm,p_value,q_FDR_BH
1160.0,0.14655502418423774,0.17966787483674335
1161.0,0.14511062110863648,0.17800351907524728
1162.0,0.13598642011768997,0.16801695642251938
1163.0,0.13394511756278432,0.16609518507936558
1164.0,0.12345602642741565,0.15477280574732855
1165.0,0.11067552973816168,0.14064158085067394
1166.0,0.1011145226385663,0.13010406896593443
1167.0,0.09323559609498937,0.1211826410588233
1168.0,0.08397128110767431,0.11096977935041237
1169.0,0.07719613364379745,0.10416399348909774
1170.0,0.07763350525211973,0.10461650412095767
1171.0,0.07419045909652136,0.10083805938168676
1172.0,0.06767862409694218,0.09347397846655744
1173.0,0.06200810065957025,0.08693001671414045
1174.0,0.05639878376192876,0.0800511456717757
1175.0,0.05184336165125211,0.07568023825389188
1176.0,0.04998749214395629,0.07391805795764553
1177.0,0.04338131499716352,0.06730338658031951
1178.0,0.041523405857336305,0.06591679985557025
1179.0,0.03998496599258466,0.06503502398952508
1180.0,0.03728993995155372,0.06289610759920779
1181.0,0.03452781028181932,0.06006491848007754
1182.0,0.03408487928904427,0.059546922846533054
1183.0,0.03257266706150901,0.057443284731861555
1184.0,0.03031250779120194,0.05472795200682674
1185.0,0.02818842920187009,0.052510870384228484
1186.0,0.028376077780323094,0.05266908192528748
1187.0,0.027631886165819245,0.051756163037529924
1188.0,0.026193878250640845,0.049836404723621865
1189.0,0.022722928977577196,0.044512633555884265
1190.0,0.02021294818220566,0.040445616313857374
1191.0,0.019386717816362076,0.03909750072896619
1192.0,0.01744900752707731,0.03589560124176085
1193.0,0.016604383240133035,0.03471517841540786
1194.0,0.016253533566162645,0.03422586996324393
1195.0,0.016023268580101096,0.03384523569288089
1196.0,0.015239770213482174,0.03249144356325565
1197.0,0.014179041466343151,0.03093746175262745
1198.0,0.012524706907464317,0.028960737167090547
1199.0,0.011720034576837108,0.02731567149669649
1200.0,0.011293102016676182,0.026440813055026085
1201.0,0.010718605173143254,0.025473765017516588
1202.0,0.010402120341960345,0.024807847466698448
1203.0,0.010247018047398278,0.024552142541137696
1204.0,0.01032430998011895,0.024679673390703923
