wavelength,kw_h,kw_p,pearson_r,pearson_p,spearman_r,spearman_p
1432,47.261538461538464,6.211923275036763e-12,-0.7697616171637744,1.0615808009194644e-13,-0.8661311391372267,2.4572590056333528e-20
1433,47.261538461538464,6.211923275036763e-12,-0.7613180277447777,2.824959959184207e-13,-0.8661311391372267,2.4572590056333528e-20
1434,47.261538461538464,6.211923275036763e-12,-0.7568343593738547,4.674014328424062e-13,-0.8661311391372267,2.4572590056333528e-20
1435,47.261538461538464,6.211923275036763e-12,-0.7545911148894648,5.988816518545449e-13,-0.8661311391372267,2.4572590056333528e-20
1436,47.261538461538464,6.211923275036763e-12,-0.7503146732494632,9.536996504173771e-13,-0.8661311391372267,2.4572590056333528e-20
1437,47.261538461538464,6.211923275036763e-12,-0.7454878252134871,1.5946657252743595e-12,-0.8661311391372267,2.4572590056333528e-20
1438,47.261538461538464,6.211923275036763e-12,-0.7429919598053418,2.070934968628927e-12,-0.8661311391372267,2.4572590056333528e-20
1439,47.07710336538463,6.82483302973763e-12,-0.7398346911902679,2.870055811874577e-12,-0.8644394767560993,3.5328010782705475e-20
1440,46.89302884615387,7.496890411186115e-12,-0.7346699429000979,4.8460945110861765e-12,-0.8627478143749719,5.0545337520856143e-20
1441,45.97806490384616,1.1958446412847157e-11,-0.7280302329665395,9.337845761082003e-12,-0.8542895024693349,2.8289788513140366e-19
1442,45.252584134615404,1.7319186503576816e-11,-0.7205588906163277,1.9098551843994168e-11,-0.8475228529448253,1.0395621691395884e-18
1443,44.17518028846155,3.0026437304689145e-11,-0.7132269174632508,3.770388221322135e-11,-0.837372878658061,6.536211095979529e-18
1444,42.9346153846154,5.66002570383514e-11,-0.7056278245128338,7.464987790434296e-11,-0.8255312419901691,4.7913440177015064e-17
1445,42.05931490384617,8.854639676881642e-11,-0.6994590346183454,1.2795335517649047e-10,-0.8170729300845322,1.8179222236078546e-16
1446,41.19302884615385,1.379135352183226e-10,-0.6932756010144154,2.1666407678907256e-10,-0.8086146181788952,6.450998916738252e-16
1447,40.506490384615404,1.959640137520609e-10,-0.6838517657220928,4.716787061357151e-10,-0.8018479686543857,1.6999083192686975e-15
1448,40.335757211538464,2.1385881610097028e-10,-0.6759102053343164,8.887283433025733e-10,-0.8001563062732583,2.153294959673769e-15
1449,40.67758413461539,1.7953490226187587e-10,-0.6761285698951124,8.736096828962708e-10,-0.8035396310355131,1.3389242629289803e-15
1450,41.36556490384618,1.2626209022091158e-10,-0.6792426221414127,6.829062453809874e-10,-0.8103062805600226,5.032891223194888e-16
1451,41.88533653846156,9.678574290789524e-11,-0.6824991007167148,5.261549821306427e-10,-0.8153812677034048,2.354107520794822e-16
1452,41.53846153846155,1.1557460629092239e-10,-0.6814761694235139,5.712720021678006e-10,-0.81199794294115,3.9167628074159893e-16
1453,41.36556490384618,1.2626209022091158e-10,-0.6760607421464134,8.782794183571115e-10,-0.8103062805600226,5.032891223194888e-16
1454,41.36556490384618,1.2626209022091158e-10,-0.6769366987527579,8.197575883183574e-10,-0.8103062805600226,5.032891223194888e-16
1455,40.506490384615404,1.959640137520609e-10,-0.6815904090543589,5.660565946997696e-10,-0.8018479686543857,1.6999083192686975e-15
1456,38.4814903846154,5.527544589706572e-10,-0.6832369657996417,4.95737782411613e-10,-0.7815480200808569,2.5209957231513247e-14
1457,36.346334134615404,1.6518962475870272e-09,-0.6830780187956805,5.02145237880182e-10,-0.7595564091262008,3.447432922017898e-13
1458,34.90384615384616,3.4639592299869014e-09,-0.6774767336404784,7.85546471916963e-10,-0.7443314476960543,1.8005991297767545e-12
1459,33.64615384615385,6.610545638428298e-09,-0.6691098673121197,1.50561360044044e-09,-0.730798148647035,7.120607738056228e-12
1460,33.33533653846155,7.756043152570637e-09,-0.6644002693490774,2.1518564408671983e-09,-0.7274148238847802,9.913519012499985e-12
1461,31.50072115384617,1.9936620148128218e-08,-0.6610199530354136,2.7697590268617394e-09,-0.7071148753112515,6.542114847733468e-11
